TRACK_ID        	TF	complex	IP_tag	TimePoint	Rep	Sonicator
An_untagged_20h_HA_1_normalized.bw	untagged	NA	HA	20h	1	1
An_untagged_20h_HA_2_normalized.bw	untagged	NA	HA	20h	2	2
An_untagged_48h_HA_1_normalized.bw	untagged	NA	HA	48h	1	1
An_untagged_48h_HA_2_normalized.bw	untagged	NA	HA	48h	2	2
An_untagged_48h_input_1_normalized.bw	untagged	NA	input	48h	1	1
An_untagged_20h_MYC_1_normalized.bw	untagged	NA	MYC	20h	1	1
An_untagged_20h_MYC_2_normalized.bw	untagged	NA	MYC	20h	2	2
An_untagged_48h_MYC_1_normalized.bw	untagged	NA	MYC	48h	1	1
An_untagged_48h_MYC_2_normalized.bw	untagged	NA	MYC	48h	2	2
An_untagged_20h_polII_1_normalized.bw	untagged	NA	polII	20h	1	1
An_untagged_20h_polII_2_normalized.bw	untagged	NA	polII	20h	2	2
An_untagged_48h_polII_1_normalized.bw	untagged	NA	polII	48h	1	1
An_untagged_48h_polII_2_normalized.bw	untagged	NA	polII	48h	2	2
An_untagged_dox_20h_polII_1_normalized.bw	untagged_dox	NA	polII	20h	1	2
An_untagged_dox_20h_polII_2_normalized.bw	untagged_dox	NA	polII	20h	2	2
An_untagged_dox_48h_polII_1_normalized.bw	untagged_dox	NA	polII	48h	1	2
An_untagged_dox_48h_polII_2_normalized.bw	untagged_dox	NA	polII	48h	2	2
An_ecoA_20h_HA_1_normalized.bw	ecoA	kdmB	HA	20h	1	1
An_ecoA_20h_HA_2_normalized.bw	ecoA	kdmB	HA	20h	2	2
An_ecoA_48h_HA_1_normalized.bw	ecoA	kdmB	HA	48h	1	1
An_ecoA_48h_HA_2_normalized.bw	ecoA	kdmB	HA	48h	2	2
An_ecoA_kdmB_del_20h_HA_1_normalized.bw	ecoA_kdmB_del	kdmB	HA	20h	1	2
An_ecoA_kdmB_del_20h_HA_2_normalized.bw	ecoA_kdmB_del	kdmB	HA	20h	2	2
An_ecoA_kdmB_del_48h_HA_1_normalized.bw	ecoA_kdmB_del	kdmB	HA	48h	1	2
An_ecoA_kdmB_del_48h_HA_2_normalized.bw	ecoA_kdmB_del	kdmB	HA	48h	2	2
An_ecoA_sntB_del_20h_HA_1_normalized.bw	ecoA_sntB_del	kdmB	HA	20h	1	2
An_ecoA_sntB_del_20h_HA_2_normalized.bw	ecoA_sntB_del	kdmB	HA	20h	2	2
An_ecoA_sntB_del_48h_HA_1_normalized.bw	ecoA_sntB_del	kdmB	HA	48h	1	2
An_ecoA_sntB_del_48h_HA_2_normalized.bw	ecoA_sntB_del	kdmB	HA	48h	2	2
An_ecoA_teton_20h_polII_1_normalized.bw	ecoA_teton	kdmB	polII	20h	1	1
An_ecoA_teton_20h_polII_2_normalized.bw	ecoA_teton	kdmB	polII	20h	2	2
An_ecoA_teton_48h_polII_1_normalized.bw	ecoA_teton	kdmB	polII	48h	1	1
An_ecoA_teton_48h_polII_2_normalized.bw	ecoA_teton	kdmB	polII	48h	2	2
An_kdmB_20h_HA_1_normalized.bw	kdmB	kdmB	HA	20h	1	1
An_kdmB_20h_HA_2_normalized.bw	kdmB	kdmB	HA	20h	2	2
An_kdmB_48h_HA_1_normalized.bw	kdmB	kdmB	HA	48h	1	1
An_kdmB_48h_HA_2_normalized.bw	kdmB	kdmB	HA	48h	2	2
An_kdmB_del_20h_polII_1_normalized.bw	kdmB_del	kdmB	polII	20h	1	1
An_kdmB_del_20h_polII_2_normalized.bw	kdmB_del	kdmB	polII	20h	2	2
An_kdmB_del_48h_polII_1_normalized.bw	kdmB_del	kdmB	polII	48h	1	1
An_kdmB_del_48h_polII_2_normalized.bw	kdmB_del	kdmB	polII	48h	2	2
An_kdmB_del_sntB_del_20h_polII_1_normalized.bw	kdmB_del_sntB_del	kdmB	polII	20h	1	1
An_kdmB_del_sntB_del_20h_polII_2_normalized.bw	kdmB_del_sntB_del	kdmB	polII	20h	2	2
An_kdmB_del_sntB_del_48h_polII_1_normalized.bw	kdmB_del_sntB_del	kdmB	polII	48h	1	1
An_kdmB_del_sntB_del_48h_polII_2_normalized.bw	kdmB_del_sntB_del	kdmB	polII	48h	2	2
An_kdmB_laeA_del_20h_HA_1_normalized.bw	kdmB_laeA_del	kdmB	HA	20h	1	2
An_kdmB_laeA_del_20h_HA_2_normalized.bw	kdmB_laeA_del	kdmB	HA	20h	2	2
An_kdmB_laeA_del_48h_HA_1_normalized.bw	kdmB_laeA_del	kdmB	HA	48h	1	2
An_kdmB_laeA_del_48h_HA_2_normalized.bw	kdmB_laeA_del	kdmB	HA	48h	2	2
An_kdmB_sntB_del_20h_HA_1_normalized.bw	kdmB_sntB_del	kdmB	HA	20h	1	2
An_kdmB_sntB_del_20h_HA_2_normalized.bw	kdmB_sntB_del	kdmB	HA	20h	2	2
An_kdmB_sntB_del_48h_HA_1_normalized.bw	kdmB_sntB_del	kdmB	HA	48h	1	2
An_kdmB_sntB_del_48h_HA_2_normalized.bw	kdmB_sntB_del	kdmB	HA	48h	2	2
An_laeA_del_kdmB_del_20h_polII_1_normalized.bw	laeA_del_kdmB_del	kdmB	polII	20h	1	2
An_laeA_del_kdmB_del_20h_polII_2_normalized.bw	laeA_del_kdmB_del	kdmB	polII	20h	2	2
An_laeA_del_kdmB_del_48h_polII_1_normalized.bw	laeA_del_kdmB_del	kdmB	polII	48h	1	2
An_laeA_del_kdmB_del_48h_polII_2_normalized.bw	laeA_del_kdmB_del	kdmB	polII	48h	2	2
An_laeA_kdmB_del_20h_HA_1_normalized.bw	laeA_kdmB_del	kdmB	HA	20h	1	2
An_laeA_kdmB_del_48h_HA_1_normalized.bw	laeA_kdmB_del	kdmB	HA	48h	1	2
An_rpdA_20h_HA_1_normalized.bw	rpdA	kdmB	HA	20h	1	1
An_rpdA_20h_HA_2_normalized.bw	rpdA	kdmB	HA	20h	2	2
An_rpdA_48h_HA_1_normalized.bw	rpdA	kdmB	HA	48h	1	1
An_rpdA_48h_HA_2_normalized.bw	rpdA	kdmB	HA	48h	2	2
An_rpdA_kdmB_del_20h_HA_1_normalized.bw	rpdA_kdmB_del	kdmB	HA	20h	1	2
An_rpdA_kdmB_del_20h_HA_2_normalized.bw	rpdA_kdmB_del	kdmB	HA	20h	2	2
An_rpdA_kdmB_del_48h_HA_1_normalized.bw	rpdA_kdmB_del	kdmB	HA	48h	1	2
An_rpdA_kdmB_del_48h_HA_2_normalized.bw	rpdA_kdmB_del	kdmB	HA	48h	2	2
An_rpdA_sntB_del_20h_HA_1_normalized.bw	rpdA_sntB_del	kdmB	HA	20h	1	2
An_rpdA_sntB_del_20h_HA_2_normalized.bw	rpdA_sntB_del	kdmB	HA	20h	2	2
An_rpdA_sntB_del_48h_HA_1_normalized.bw	rpdA_sntB_del	kdmB	HA	48h	1	2
An_rpdA_sntB_del_48h_HA_2_normalized.bw	rpdA_sntB_del	kdmB	HA	48h	2	2
An_rpdA_teton_20h_polII_1_normalized.bw	rpdA_teton	kdmB	polII	20h	1	1
An_rpdA_teton_20h_polII_2_normalized.bw	rpdA_teton	kdmB	polII	20h	2	2
An_rpdA_teton_48h_polII_1_normalized.bw	rpdA_teton	kdmB	polII	48h	1	1
An_rpdA_teton_48h_polII_2_normalized.bw	rpdA_teton	kdmB	polII	48h	2	2
An_sntB_20h_HA_1_normalized.bw	sntB	kdmB	HA	20h	1	1
An_sntB_20h_HA_2_normalized.bw	sntB	kdmB	HA	20h	2	2
An_sntB_48h_HA_1_normalized.bw	sntB	kdmB	HA	48h	1	1
An_sntB_48h_HA_2_normalized.bw	sntB	kdmB	HA	48h	2	2
An_sntB_del_20h_polII_1_normalized.bw	sntB_del	kdmB	polII	20h	1	1
An_sntB_del_20h_polII_2_normalized.bw	sntB_del	kdmB	polII	20h	2	2
An_sntB_del_48h_polII_1_normalized.bw	sntB_del	kdmB	polII	48h	1	1
An_sntB_del_48h_polII_2_normalized.bw	sntB_del	kdmB	polII	48h	2	2
An_sntB_kdmB_del_20h_HA_1_normalized.bw	sntB_kdmB_del	kdmB	HA	20h	1	2
An_sntB_kdmB_del_20h_HA_2_normalized.bw	sntB_kdmB_del	kdmB	HA	20h	2	2
An_sntB_kdmB_del_48h_HA_1_normalized.bw	sntB_kdmB_del	kdmB	HA	48h	1	2
An_sntB_kdmB_del_48h_HA_2_normalized.bw	sntB_kdmB_del	kdmB	HA	48h	2	2
An_sudA_20h_HA_1_normalized.bw	sudA	kdmB	HA	20h	1	2
An_sudA_20h_HA_2_normalized.bw	sudA	kdmB	HA	20h	2	2
An_sudA_48h_HA_1_normalized.bw	sudA	kdmB	HA	48h	1	2
An_sudA_48h_HA_2_normalized.bw	sudA	kdmB	HA	48h	2	2
An_sudA_ecoA_teton_20h_HA_1_normalized.bw	sudA_ecoA_teton	kdmB	HA	20h	1	2
An_sudA_ecoA_teton_20h_HA_2_normalized.bw	sudA_ecoA_teton	kdmB	HA	20h	2	2
An_sudA_ecoA_teton_48h_HA_1_normalized.bw	sudA_ecoA_teton	kdmB	HA	48h	1	2
An_sudA_ecoA_teton_48h_HA_2_normalized.bw	sudA_ecoA_teton	kdmB	HA	48h	2	2
An_sudA_kdmB_del_20h_HA_1_normalized.bw	sudA_kdmB_del	kdmB	HA	20h	1	2
An_sudA_kdmB_del_20h_HA_2_normalized.bw	sudA_kdmB_del	kdmB	HA	20h	2	2
An_sudA_kdmB_del_48h_HA_1_normalized.bw	sudA_kdmB_del	kdmB	HA	48h	1	2
An_sudA_kdmB_del_48h_HA_2_normalized.bw	sudA_kdmB_del	kdmB	HA	48h	2	2
An_cclA_20h_HA_1_normalized.bw	cclA	kdmA	HA	20h	1	1
An_cclA_20h_HA_2_normalized.bw	cclA	kdmA	HA	20h	2	2
An_cclA_48h_HA_1_normalized.bw	cclA	kdmA	HA	48h	1	1
An_cclA_48h_HA_2_normalized.bw	cclA	kdmA	HA	48h	2	2
An_cclA_del_20h_polII_1_normalized.bw	cclA_del	kdmA	polII	20h	1	1
An_cclA_del_20h_polII_2_normalized.bw	cclA_del	kdmA	polII	20h	2	2
An_cclA_del_48h_polII_1_normalized.bw	cclA_del	kdmA	polII	48h	1	1
An_cclA_del_48h_polII_2_normalized.bw	cclA_del	kdmA	polII	48h	2	2
An_cclA_kdmA_del_20h_HA_1_normalized.bw	cclA_kdmA_del	kdmA	HA	20h	1	1
An_cclA_kdmA_del_20h_HA_2_normalized.bw	cclA_kdmA_del	kdmA	HA	20h	2	2
An_cclA_kdmA_del_48h_HA_1_normalized.bw	cclA_kdmA_del	kdmA	HA	48h	1	1
An_cclA_kdmA_del_48h_HA_2_normalized.bw	cclA_kdmA_del	kdmA	HA	48h	2	2
An_ecmB_20h_HA_1_normalized.bw	ecmB	kdmA	HA	20h	1	1
An_ecmB_20h_HA_2_normalized.bw	ecmB	kdmA	HA	20h	2	2
An_ecmB_48h_HA_1_normalized.bw	ecmB	kdmA	HA	48h	1	1
An_ecmB_48h_HA_2_normalized.bw	ecmB	kdmA	HA	48h	2	2
An_ecmB_del_20h_polII_1_normalized.bw	ecmB_del	kdmA	polII	20h	1	1
