sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_hepA_20h_HA_1	TF	hepA	20h	HA	1	hepA	An_untagged_20h_HA_1	narrow	white,red
An_hepA_20h_HA_2	TF	hepA	20h	HA	2	hepA	An_untagged_20h_HA_2	narrow	white,red
An_hepA_48h_HA_1	TF	hepA	48h	HA	1	hepA	An_untagged_48h_HA_1	narrow	white,red
An_hepA_48h_HA_2	TF	hepA	48h	HA	2	hepA	An_untagged_48h_HA_2	narrow	white,red
An_H3_20h_HIST_1	HIST	H3	20h	HIST	1	independent	.	.	black,yellow
An_H3_48h_HIST_1	HIST	H3	48h	HIST	1	independent	.	.	black,yellow
An_H3K36Me3_20h_HIST_1	HIST	H3K36Me3	20h	HIST	1	independent	An_H3_20h_HIST_1	.	black,yellow
An_H3K36Me3_48h_HIST_1	HIST	H3K36Me3	48h	HIST	1	independent	An_H3_48h_HIST_1	.	black,yellow
An_H3K4Me3_20h_HIST_1	HIST	H3K4Me3	20h	HIST	1	independent	An_H3_20h_HIST_1	.	black,yellow
An_H3K4Me3_48h_HIST_1	HIST	H3K4Me3	48h	HIST	1	independent	An_H3_48h_HIST_1	.	black,yellow
An_H3K9Ac_20h_HIST_1	HIST	H3K9Ac	20h	HIST	1	independent	An_H3_20h_HIST_1	.	black,yellow
An_H3K9Ac_48h_HIST_1	HIST	H3K9Ac	48h	HIST	1	independent	An_H3_48h_HIST_1	.	black,yellow
An_H3K9Me3_20h_HIST_1	HIST	H3K9Me3	20h	HIST	1	independent	An_H3_20h_HIST_1	.	black,yellow
An_H3K9Me3_48h_HIST_1	HIST	H3K9Me3	48h	HIST	1	independent	An_H3_48h_HIST_1	.	black,yellow
An_laeA_20h_HA_1	TF	laeA	20h	HA	1	independent	An_untagged_20h_HA_1	narrow	white,red
An_laeA_20h_HA_2	TF	laeA	20h	HA	2	independent	An_untagged_20h_HA_2	narrow	white,red
An_laeA_48h_HA_1	TF	laeA	48h	HA	1	independent	An_untagged_48h_HA_1	narrow	white,red
An_laeA_48h_HA_2	TF	laeA	48h	HA	2	independent	An_untagged_48h_HA_2	narrow	white,red
An_laeA_del_20h_polII_1	polII	laeA_del	20h	polII	1	independent	An_untagged_20h_polII_1	.	white,red
An_laeA_del_20h_polII_2	polII	laeA_del	20h	polII	2	independent	An_untagged_20h_polII_2	.	white,red
An_laeA_del_48h_polII_1	polII	laeA_del	48h	polII	1	independent	An_untagged_48h_polII_1	.	white,red
An_laeA_del_48h_polII_2	polII	laeA_del	48h	polII	2	independent	An_untagged_48h_polII_2	.	white,red
An_laeA_hepA_GFP_20h_HA_1	TF	laeA_hepA_GFP	20h	HA	1	independent	An_untagged_20h_HA_1	narrow	white,red
An_laeA_hepA_GFP_20h_HA_2	TF	laeA_hepA_GFP	20h	HA	2	independent	An_untagged_20h_HA_2	narrow	white,red
An_laeA_hepA_GFP_48h_HA_1	TF	laeA_hepA_GFP	48h	HA	1	independent	An_untagged_48h_HA_1	narrow	white,red
An_laeA_hepA_GFP_48h_HA_2	TF	laeA_hepA_GFP	48h	HA	2	independent	An_untagged_48h_HA_2	narrow	white,red
An_laeA_kdmB_del_20h_HA_2	TF	laeA_kdmB_del	20h	HA	2	independent	An_untagged_20h_HA_2	narrow	white,red
An_laeA_kdmB_del_48h_HA_2	TF	laeA_kdmB_del	48h	HA	2	independent	An_untagged_48h_HA_2	narrow	white,red
An_cclA_20h_HA_1	TF	cclA	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_cclA_20h_HA_2	TF	cclA	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_cclA_48h_HA_1	TF	cclA	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_cclA_48h_HA_2	TF	cclA	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_cclA_del_20h_polII_1	polII	cclA_del	20h	polII	1	kdmA	An_untagged_20h_polII_1	.	white,red
An_cclA_del_20h_polII_2	polII	cclA_del	20h	polII	2	kdmA	An_untagged_20h_polII_2	.	white,red
An_cclA_del_20h_polII_2_FAIL	polII	cclA_del	20h	polII	2_FAIL	kdmA	An_untagged_20h_polII_2	.	white,red
An_cclA_del_48h_polII_1	polII	cclA_del	48h	polII	1	kdmA	An_untagged_48h_polII_1	.	white,red
An_cclA_del_48h_polII_2	polII	cclA_del	48h	polII	2	kdmA	An_untagged_48h_polII_2	.	white,red
An_cclA_del_48h_polII_2_FAIL	polII	cclA_del	48h	polII	2_FAIL	kdmA	An_untagged_48h_polII_2	.	white,red
An_cclA_kdmA_del_20h_HA_1	TF	cclA_kdmA_del	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_cclA_kdmA_del_20h_HA_2	TF	cclA_kdmA_del	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_cclA_kdmA_del_48h_HA_1	TF	cclA_kdmA_del	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_cclA_kdmA_del_48h_HA_2	TF	cclA_kdmA_del	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_ecmB_20h_HA_1	TF	ecmB	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_ecmB_20h_HA_2	TF	ecmB	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_ecmB_48h_HA_1	TF	ecmB	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_ecmB_48h_HA_2	TF	ecmB	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_ecmB_del_20h_polII_1	polII	ecmB_del	20h	polII	1	kdmA	An_untagged_20h_polII_1	.	white,red
An_ecmB_del_20h_polII_2	polII	ecmB_del	20h	polII	2	kdmA	An_untagged_20h_polII_2	.	white,red
An_ecmB_del_20h_polII_2_FAIL	polII	ecmB_del	20h	polII	2_FAIL	kdmA	An_untagged_20h_polII_2	.	white,red
An_ecmB_del_48h_polII_1	polII	ecmB_del	48h	polII	1	kdmA	An_untagged_48h_polII_1	.	white,red
An_ecmB_del_48h_polII_2	polII	ecmB_del	48h	polII	2	kdmA	An_untagged_48h_polII_2	.	white,red
An_ecmB_del_48h_polII_2_FAIL	polII	ecmB_del	48h	polII	2_FAIL	kdmA	An_untagged_48h_polII_2	.	white,red
An_ecmB_kdmA_del_20h_HA_1	TF	ecmB_kdmA_del	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_ecmB_kdmA_del_20h_HA_2	TF	ecmB_kdmA_del	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_ecmB_kdmA_del_48h_HA_1	TF	ecmB_kdmA_del	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_ecmB_kdmA_del_48h_HA_2	TF	ecmB_kdmA_del	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_H3_cclA_del_20h_HIST_1	HIST	H3_cclA_del	20h	HIST	1	kdmA	.	.	black,yellow
An_H3_cclA_del_48h_HIST_1	HIST	H3_cclA_del	48h	HIST	1	kdmA	.	.	black,yellow
An_H3_kdmA_del_20h_HIST_1	HIST	H3_kdmA_del	20h	HIST	1	kdmA	.	.	black,yellow
An_H3_kdmA_del_48h_HIST_1	HIST	H3_kdmA_del	48h	HIST	1	kdmA	.	.	black,yellow
An_H3K36Me3_cclA_del_20h_HIST_1	HIST	H3K36Me3_cclA_del	20h	HIST	1	kdmA	An_H3_cclA_del_20h_HIST_1	.	black,yellow
An_H3K36Me3_cclA_del_48h_HIST_1	HIST	H3K36Me3_cclA_del	48h	HIST	1	kdmA	An_H3_cclA_del_48h_HIST_1	.	black,yellow
