Strain	rowLabel	time	Penicillin G	Sterigmatocystin	Versicolorin A	Versicolorin C	Averantin	Averufin	Nidurufin	Norsolorinic acid	seco-Sterigmatocystin	Austinol	Dehydroaustinol	Emericellamide A	Emericellamide C	Emericellamide E	Chrysophanol	Citreorosein	Dichlordiaportin	Emodin	Endocrocin	FK 9775 A	FK 9775 B	Ilicicolin B	Iso-Rhodoptilometrin	Orsellinic acid
WT	46	52h	0	876795	3.22	9.69	0.49	1.25	7.41	1.65	7.83	27.59	81.9	9259000	23180000	1801000	0.00	0.38	2.34	3.69	38.98	275400	201200	0.00	0.73	829
WT	47	52h	0	1380601	1.78	4.34	0.09	0.30	1.31	0.46	3.17	11.56	38.2	4151000	10690000	1233000	0.00	0.42	1.07	2.42	10.75	38770	27790	0.00	0.86	833
WT	48	52h	0	1647250	1.71	4.25	0.08	0.44	1.01	0.31	1.03	10.46	32.0	7236000	17200000	1773000	0.00	0.17	1.40	2.21	9.47	81740	47890	0.00	0.79	1259
AN KdmA*Delta	49	52h	0	2383420	1.13	8.15	0.13	0.53	6.89	0.00	10.00	12.55	54.9	2202000	5606000	741900	0.00	0.00	4.90	0.36	7.49	59820	37580	0.00	0.11	2148
AN KdmA*Delta	50	52h	0	2012840	0.15	0.47	0.09	0.03	0.28	0.00	0.15	12.45	58.8	2800000	6526000	1016000	0.00	0.00	0.89	0.77	0.00	17280	9716	0.00	0.04	2772
AN KdmA*Delta	51	52h	0	2009858	0.82	6.29	0.17	0.42	8.78	0.00	11.99	11.81	50.0	1540000	3944000	538500	0.00	0.00	2.99	0.35	7.75	101700	84620	0.00	0.13	2632
AN CclA*Delta	52	52h	9961	2191682	0.34	4.66	0.13	0.55	3.57	0.00	5.61	56.05	127.1	11890000	27130000	1199000	106.80	10.01	0.56	35.54	28.67	583000	662400	0.00	0.82	11060
AN CclA*Delta	53	52h	3657	3226024	0.00	0.06	0.00	0.00	0.04	0.00	0.14	7.82	29.2	12580000	32580000	1313000	67.43	1.11	0.00	6.61	2.17	296500	355500	1.34	0.11	9062
AN CclA*Delta	54	52h	4282	3502298	0.27	3.81	0.11	0.44	1.96	0.00	4.23	88.01	192.0	13460000	32420000	1270000	95.53	6.69	2.16	20.25	38.18	325100	289800	0.25	0.85	7484
AN EcmB*Delta	55	52h	0	1945792	0.09	0.54	0.00	0.11	1.12	0.00	1.14	51.64	99.7	43420	74430	1139	47.97	16.52	3.99	9.96	14.75	23280	0	0.00	0.47	1775
AN EcmB*Delta	56	52h	0	2096678	0.11	0.72	0.00	0.12	1.64	0.00	1.75	47.54	83.2	52040	101300	0	42.43	19.87	6.93	12.73	12.64	28140	0	0.00	0.43	1593
AN EcmB*Delta	57	52h	0	2241432	0.14	1.64	0.00	0.37	2.73	0.00	7.73	46.08	92.7	34980	95070	0	25.60	21.76	10.29	11.21	22.79	63350	38370	0.00	0.65	1898
AN RstB*Delta	58	52h	0	6334936	0.85	3.05	0.14	0.44	0.95	0.44	0.22	9.52	43.2	3301000	7912000	926900	0.00	0.00	0.00	0.43	0.61	0	0	0.00	0.03	0
AN RstB*Delta	59	52h	0	6144110	0.63	12.59	0.27	3.64	8.68	1.19	1.02	10.85	43.4	8249000	20990000	1085000	0.00	0.00	2.38	0.69	7.34	7130	0	0.00	0.05	0
AN RstB*Delta	60	52h	0	5925771	0.55	9.44	0.29	2.72	4.88	1.59	1.39	13.25	50.0	9551000	23890000	1081000	0.00	0.00	0.00	1.07	6.54	15560	0	0.00	0.06	0
AN McmA-teton	61	52h	0	163218	1.67	15.21	0.59	4.13	6.57	4.33	2.76	5.86	25.7	15770000	36880000	2009000	0.00	0.00	1.62	2.43	21.56	57720	44620	0.00	0.61	188
AN McmA-teton	62	52h	0	142645	0.68	1.74	0.12	0.21	0.33	0.39	0.36	4.70	27.3	11880000	27050000	2077000	0.00	0.00	0.00	1.73	16.31	21340	0	0.00	0.79	826
AN McmA-teton	63	52h	0	145396	1.15	14.69	0.19	1.81	3.62	0.86	2.14	5.64	29.1	13510000	30030000	1514000	0.00	0.00	0.00	0.69	20.07	51220	37980	0.00	0.32	415
AN KdmA*Delta CclA*Delta	64	52h	6986	3047217	0.81	8.29	0.38	1.93	2.13	0.00	0.38	36.72	92.6	9931000	23090000	3187000	10.62	0.00	0.00	2.88	24.77	2597000	3104000	0.00	0.17	16240
AN KdmA*Delta CclA*Delta	65	52h	10980	2261012	0.12	0.44	0.00	0.16	0.49	0.00	0.11	25.62	54.2	5275000	11280000	1282000	20.85	22.07	0.00	2.59	14.58	1671000	1860000	0.00	0.13	11980
AN KdmA*Delta CclA*Delta	66	52h	13480	3701003	0.45	3.39	0.18	0.93	2.28	0.00	0.37	60.47	119.0	6885000	15120000	1871000	18.84	0.00	0.00	2.84	19.80	2413000	2836000	0.00	0.15	14550
AN KdmA*Delta EcmB*Delta	67	52h	0	1971876	0.00	0.18	0.00	0.03	0.20	0.00	0.21	33.83	83.9	30750	25220	2228	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.02	780
AN KdmA*Delta EcmB*Delta	68	52h	0	2818310	0.09	0.28	0.00	0.09	0.32	0.00	0.20	33.57	81.2	32350	29100	0	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.02	709
AN KdmA*Delta EcmB*Delta	69	52h	0	2596559	0.00	0.08	0.00	0.01	0.14	0.00	0.20	34.35	83.6	22290	13700	0	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.02	631
AN KdmA*Delta RstB*Delta	70	52h	0	3132677	0.79	13.24	0.30	2.14	17.32	0.51	14.74	31.04	150.5	4163000	9443000	1130000	0.00	0.00	1.10	0.00	13.98	123500	96400	0.00	0.05	0
AN KdmA*Delta RstB*Delta	71	52h	0	3105056	0.25	1.70	0.00	0.14	1.01	0.00	2.72	19.08	94.1	2741000	6634000	925400	0.00	0.00	0.00	0.00	3.29	42190	33310	0.00	0.00	110
AN KdmA*Delta RstB*Delta	72	52h	0	3187339	1.04	7.05	0.42	1.11	6.92	1.10	3.02	17.63	74.0	3570000	9888000	549200	0.00	0.00	0.00	0.14	2.11	19170	10970	0.00	0.02	0
AN  RstB*Delta CclA*Delta	73	52h	13090	3612620	0.08	0.13	0.10	0.03	0.37	0.00	0.15	18.29	69.1	12580000	32310000	1258000	19.21	0.00	0.00	1.78	27.61	1341000	1562000	0.00	0.31	11030
AN  RstB*Delta CclA*Delta	74	52h	41530	4759862	0.10	0.09	0.00	0.01	0.47	0.00	0.20	12.46	60.6	8890000	21330000	1142000	32.89	0.00	0.00	3.11	2.83	189800	232500	0.00	0.08	4498
AN  RstB*Delta CclA*Delta	75	52h	105100	3585397	0.75	2.23	0.14	0.62	1.03	0.53	0.22	41.71	117.3	12750000	23320000	758900	5.21	0.00	0.00	0.71	4.44	1477000	1772000	0.00	0.09	5918
AN RstB*Delta EcmB*Delta	76	52h	0	2303718	0.00	0.05	0.00	0.01	0.11	0.00	0.18	15.41	59.4	14730	13170	0	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.03	744
AN RstB*Delta EcmB*Delta	77	52h	0	1993129	0.11	1.19	0.00	0.19	2.79	0.00	4.46	13.28	55.0	21380	33310	0	0.00	0.00	0.00	0.00	1.64	8930	0	0.00	0.04	832
AN RstB*Delta EcmB*Delta	78	52h	0	2559589	0.09	1.21	0.00	0.19	2.19	0.00	3.22	16.45	57.5	26820	55520	0	0.00	0.00	0.00	0.00	0.85	4820	0	0.00	0.02	777
AN CclA*Delta EcmB*Delta	79	52h	6355	46827	0.22	2.33	0.19	0.25	1.72	0.00	0.86	3.54	28.1	1239000	2992000	120500	21.86	6.23	0.00	5.30	12.01	4758000	6396000	0.00	0.08	18200
AN CclA*Delta EcmB*Delta	80	52h	9192	68457	0.31	2.64	0.19	0.27	2.43	0.00	0.42	3.15	25.2	501200	1009000	7737	15.75	20.74	0.00	4.92	19.64	3281000	4578000	0.00	0.16	16190
