hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0030838	positive regulation of actin filament polymerization	0.0015	24	6	2.74	0.25	2.824	AN1324,AN1462,AN4743,AN5803,AN7487,AN9463
FALSE	TRUE	2	GO:0006629	lipid metabolic process	0.0022	407	54	46.55	0.133	2.658	AN0338,AN0484,AN0579,AN0636,AN0649,AN0839,AN0851,AN0963,AN10396,AN10673,AN10747,AN10887,AN1102,AN11126,AN1165,AN1339,AN1409,AN1713,AN1798,AN1799,AN1921,AN2048,AN2069,AN2303,AN2528,AN2766,AN2947,AN3013,AN3132,AN3177,AN3380,AN3636,AN4056,AN4208,AN4601,AN5011,AN5159,AN5356,AN5402,AN5585,AN5646,AN5777,AN5833,AN5888,AN5905,AN6236,AN6382,AN6610,AN7050,AN7123,AN8046,AN8280,AN8743,AN9106
FALSE	TRUE	2	GO:0030448	hyphal growth	0.0024	188	35	21.5	0.186	2.62	AN0163,AN0253,AN0651,AN0667,AN1025,AN1123,AN1168,AN1171,AN1324,AN1462,AN1539,AN1733,AN2067,AN2489,AN2516,AN2901,AN3026,AN3095,AN3385,AN3683,AN4189,AN4416,AN4570,AN4685,AN4716,AN4743,AN4953,AN5803,AN6685,AN7032,AN7487,AN7678,AN7698,AN8071,AN8863
FALSE	TRUE	2	GO:0045332	phospholipid translocation	0.0029	14	6	1.6	0.429	2.538	AN10622,AN10949,AN2011,AN2477,AN5100,AN7149
FALSE	TRUE	2	GO:1900781	fumiquinazoline C biosynthetic process	0.0064	16	6	1.83	0.375	2.194	AN0147,AN1035,AN10930,AN1242,AN3204,AN8199
FALSE	TRUE	2	GO:0006812	cation transport	0.0066	188	32	21.5	0.17	2.18	AN0252,AN1017,AN10178,AN10468,AN10876,AN10982,AN11138,AN1168,AN1290,AN1339,AN1788,AN2011,AN4101,AN4477,AN4478,AN4517,AN5341,AN5347,AN5356,AN5378,AN5636,AN5743,AN6127,AN6642,AN6769,AN6940,AN6960,AN7297,AN8791,AN8864,AN8962,AN9107
FALSE	TRUE	2	GO:0055085	transmembrane transport	0.0108	742	100	84.86	0.135	1.967	AN0225,AN0252,AN0404,AN0429,AN0559,AN0739,AN0890,AN10075,AN1017,AN10267,AN10468,AN10662,AN1085,AN10876,AN10949,AN1109,AN1110,AN11138,AN1168,AN12060,AN1290,AN1339,AN1481,AN1788,AN2043,AN2062,AN2344,AN2349,AN2465,AN2475,AN2477,AN2958,AN3195,AN3204,AN3915,AN4019,AN4180,AN4277,AN4477,AN4478,AN4481,AN4517,AN4590,AN5104,AN5236,AN5341,AN5347,AN5356,AN5378,AN5551,AN5636,AN5734,AN5742,AN5763,AN5917,AN6107,AN6127,AN6237,AN6238,AN6344,AN6429,AN6443,AN6642,AN6757,AN6769,AN6770,AN6778,AN6783,AN6848,AN6940,AN6960,AN7027,AN7272,AN7295,AN7344,AN7351,AN7510,AN7648,AN7898,AN7972,AN8344,AN8365,AN8366,AN8467,AN8507,AN8540,AN8737,AN8762,AN8768,AN8791,AN8813,AN8814,AN8912,AN8955,AN8957,AN8962,AN9010,AN9107,AN9392,AN9456
FALSE	TRUE	2	GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.0122	18	6	2.06	0.333	1.914	AN0651,AN1025,AN2430,AN3090,AN6892,AN7487
FALSE	TRUE	2	GO:0031505	fungal-type cell wall organization	0.0124	108	20	12.35	0.185	1.907	AN0472,AN0667,AN1017,AN10763,AN1168,AN1242,AN1573,AN2067,AN2516,AN3095,AN3583,AN4189,AN4953,AN5011,AN5619,AN6293,AN7032,AN7149,AN7698,AN8877
FALSE	TRUE	2	GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	0.0125	5	3	0.57	0.6	1.903	AN0651,AN1339,AN7487
FALSE	TRUE	2	GO:2000247	positive regulation of establishment or maintenance of bipolar cell polarity regulating cell shape	0.0125	5	3	0.57	0.6	1.903	AN1485,AN2067,AN6685
FALSE	TRUE	2	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.0125	19	4	2.17	0.211	1.903	AN1339,AN2071,AN2072,AN2761
FALSE	TRUE	2	GO:0034605	cellular response to heat	0.0127	57	13	6.52	0.228	1.896	AN1017,AN10673,AN2761,AN3583,AN3592,AN4189,AN4467,AN4716,AN6293,AN6892,AN7388,AN7698,AN8643
FALSE	TRUE	2	GO:0006275	regulation of DNA replication	0.0131	38	5	4.35	0.132	1.883	AN1017,AN10336,AN2072,AN3941,AN6070
FALSE	TRUE	2	GO:0010927	cellular component assembly involved in morphogenesis	0.0131	39	5	4.46	0.128	1.883	AN1339,AN2071,AN4601,AN5619,AN7487
FALSE	TRUE	2	GO:1900772	fumitremorgin B biosynthetic process	0.0134	9	4	1.03	0.444	1.873	AN11080,AN12402,AN1242,AN6784
FALSE	TRUE	2	GO:0007118	budding cell apical bud growth	0.0134	9	4	1.03	0.444	1.873	AN1025,AN1324,AN4496,AN7487
FALSE	TRUE	2	GO:0018342	protein prenylation	0.0134	9	4	1.03	0.444	1.873	AN11080,AN12402,AN3867,AN6784
FALSE	TRUE	2	GO:0051017	actin filament bundle assembly	0.0203	10	4	1.14	0.4	1.693	AN1324,AN4218,AN5803,AN9463
FALSE	TRUE	2	GO:0030001	metal ion transport	0.0206	92	17	10.52	0.185	1.686	AN1017,AN10178,AN10468,AN11138,AN1168,AN1788,AN4101,AN4517,AN5341,AN5378,AN5636,AN5743,AN6642,AN6769,AN6940,AN6960,AN7297
FALSE	TRUE	2	GO:1900793	shamixanthone biosynthetic process	0.0229	6	3	0.69	0.5	1.64	AN12402,AN6784,AN7998
FALSE	TRUE	2	GO:0045122	aflatoxin biosynthetic process	0.0229	6	3	0.69	0.5	1.64	AN7072,AN7819,AN8645
FALSE	TRUE	2	GO:0033347	tetrose metabolic process	0.0229	6	3	0.69	0.5	1.64	AN0423,AN5986,AN7193
FALSE	TRUE	2	GO:0019568	arabinose catabolic process	0.0229	6	3	0.69	0.5	1.64	AN0423,AN4691,AN7193
FALSE	TRUE	2	GO:0007088	regulation of mitotic nuclear division	0.023	65	8	7.43	0.123	1.638	AN10336,AN1922,AN2141,AN2761,AN3941,AN5631,AN7487,AN8071
FALSE	TRUE	2	GO:0006099	tricarboxylic acid cycle	0.0264	21	6	2.4	0.286	1.578	AN2916,AN2999,AN3466,AN3894,AN7000,AN8793
