hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	TRUE	2	00472	D-Arginine and D-ornithine metabolism	1	1	1	0	0	AN0174.2
FALSE	TRUE	2	01100	Metabolic pathways	105	904	0.12	4.05483341391359e-08	2.57481921783513e-06	AN0174.2/AN0252.2/AN0299.2/AN0423.2/AN0443.2/AN0567.2/AN0579.2/AN0636.2/AN0667.2/AN0797.2/AN0840.2/AN0851.2/AN1102.2/AN1140.2/AN1165.2/AN1342.2/AN1403.2/AN1409.2/AN1418.2/AN1502.2/AN1713.2/AN1733.2/AN1743.2/AN1804.2/AN1854.2/AN1895.2/AN1896.2/AN1897.2/AN1999.2/AN2154.2/AN2306.2/AN2359.2/AN2446.2/AN2621.2/AN2622.2/AN2623.2/AN2766.2/AN2828.2/AN2851.2/AN2860.2/AN2900.2/AN2901.2/AN2916.2/AN2999.2/AN3177.2/AN3201.2/AN3222.2/AN3378.2/AN3380.2/AN3431.2/AN3432.2/AN3456.2/AN3466.2/AN3467.2/AN3569.2/AN3593.2/AN3626.2/AN3634.2/AN3733.2/AN3894.2/AN3903.2/AN3916.2/AN4055.2/AN4245.2/AN4348.2/AN4372.2/AN4424.2/AN4569.2/AN4716.2/AN5077.2/AN5159.2/AN5585.2/AN5646.2/AN5690.2/AN5833.2/AN5888.2/AN5909.2/AN5986.2/AN6035.2/AN6127.2/AN6182.2/AN6209.2/AN6525.2/AN6866.2/AN7000.2/AN7028.2/AN7193.2/AN7388.2/AN7684.2/AN8078.2/AN8138.2/AN8280.2/AN8546.2/AN8657.2/AN8763.2/AN8793.2/AN8843.2/AN8866.2/AN8953.2/AN8977.2/AN9106.2/AN9107.2/AN9116.2/AN9120.2/AN9157.2
FALSE	TRUE	2	00311	Penicillin and cephalosporin biosynthesis	4	5	0.8	1.29697265428152e-05	0.000549051756979175	AN0174.2/AN2621.2/AN2622.2/AN2623.2
FALSE	TRUE	2	00511	Other glycan degradation	5	9	0.56	8.50680239147017e-05	0.00270090975929178	AN1502.2/AN1742.2/AN2936.2/AN3201.2/AN8149.2
FALSE	TRUE	2	00130	Ubiquinone and other terpenoid-quinone biosynthesis	4	10	0.4	0.00205867504098637	0.0522903460410537	AN1140.2/AN1743.2/AN1999.2/AN4569.2
FALSE	TRUE	2	00600	Sphingolipid metabolism	6	24	0.25	0.00943080188045533	0.199618639802971	AN1102.2/AN1165.2/AN3201.2/AN4245.2/AN6847.2/AN8138.2
FALSE	TRUE	2	00562	Inositol phosphate metabolism	6	26	0.23	0.0148557606546291	0.243873057263465	AN1854.2/AN2766.2/AN3636.2/AN4140.2/AN5985.2/AN8546.2
FALSE	TRUE	2	04933	AGE-RAGE signaling pathway in diabetic complications	3	10	0.3	0.0153620823473049	0.243873057263465	AN1017.2/AN4743.2/AN7487.2
FALSE	TRUE	2	00592	alpha-Linolenic acid metabolism	2	6	0.33	0.0184626925675823	0.26052910623144	AN1713.2/AN5646.2
FALSE	TRUE	2	00520	Amino sugar and nucleotide sugar metabolism	10	55	0.18	0.0228757715935829	0.290522299238503	AN0299.2/AN0667.2/AN1418.2/AN1502.2/AN1571.2/AN2359.2/AN4367.2/AN5077.2/AN6182.2/AN7032.2
FALSE	TRUE	2	04146	Peroxisome	9	52	0.17	0.0379434017807997	0.382652139778777	AN0174.2/AN1342.2/AN2999.2/AN3412.2/AN4056.2/AN4280.2/AN5646.2/AN8280.2/AN8657.2
FALSE	TRUE	2	00053	Ascorbate and aldarate metabolism	2	8	0.25	0.0439238773953739	0.382652139778777	AN5985.2/AN8977.2
FALSE	TRUE	2	00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	8	0.25	0.0439238773953739	0.382652139778777	AN1502.2/AN8138.2
FALSE	TRUE	2	04011	MAPK signaling pathway - yeast	10	61	0.16	0.045027349912373	0.382652139778777	AN1017.2/AN1025.2/AN1339.2/AN2067.2/AN2766.2/AN3941.2/AN4189.2/AN6892.2/AN7487.2/AN7698.2
TRUE	FALSE	3	01100	Metabolic pathways	76	904	0.08	1.32651967370255e-06	0.000168467998560224	AN0022.2/AN0179.2/AN0240.2/AN0357.2/AN0912.2/AN0929.2/AN1222.2/AN1226.2/AN1357.2/AN1523.2/AN1722.2/AN2045.2/AN2243.2/AN2284.2/AN2286.2/AN2311.2/AN2332.2/AN2436.2/AN2951.2/AN3031.2/AN3223.2/AN3388.2/AN3591.2/AN3638.2/AN3639.2/AN3748.2/AN3829.2/AN3954.2/AN4332.2/AN4384.2/AN4397.2/AN4443.2/AN4464.2/AN4576.2/AN4591.2/AN4727.2/AN4770.2/AN4863.2/AN4864.2/AN4888.2/AN5130.2/AN5300.2/AN5311.2/AN5586.2/AN5731.2/AN5732.2/AN5746.2/AN5820.2/AN5907.2/AN5952.2/AN5976.2/AN6032.2/AN6168.2/AN6211.2/AN6255.2/AN6338.2/AN6390.2/AN6499.2/AN6521.2/AN6644.2/AN6645.2/AN6653.2/AN6973.2/AN7832.2/AN8009.2/AN8010.2/AN8041.2/AN8231.2/AN8241.2/AN8283.2/AN8639.2/AN8689.2/AN8861.2/AN8869.2/AN8907.2/AN9470.2
TRUE	FALSE	3	03060	Protein export	5	17	0.29	0.00106796697124363	0.0566347812095622	AN0417.2/AN0643.2/AN0834.2/AN2014.2/AN5819.2
