hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0006570	tyrosine metabolic process	0.00082	9	5	0.89	0.556	3.086	AN1897,AN1898,AN1899,AN5644,AN6866
FALSE	TRUE	2	GO:1905039	carboxylic acid transmembrane transport	0.00428	53	9	5.22	0.17	2.369	AN1014,AN1059,AN2043,AN2468,AN4287,AN4478,AN6578,AN8762,AN9010
FALSE	TRUE	2	GO:0001402	signal transduction involved in filamentous growth	0.00472	8	4	0.79	0.5	2.326	AN1016,AN2269,AN6487,AN7698
FALSE	TRUE	2	GO:0071214	cellular response to abiotic stimulus	0.00475	129	14	12.69	0.109	2.323	AN0423,AN1016,AN1168,AN1769,AN2269,AN2446,AN3583,AN3735,AN4685,AN5057,AN5593,AN5635,AN6892,AN7698
FALSE	TRUE	2	GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.00588	18	6	1.77	0.333	2.231	AN0081,AN2269,AN3090,AN6892,AN7487,AN7743
FALSE	TRUE	2	GO:0000282	cellular bud site selection	0.00784	9	4	0.89	0.444	2.106	AN11059,AN1324,AN3735,AN4685
FALSE	TRUE	2	GO:0032365	intracellular lipid transport	0.00816	5	3	0.49	0.6	2.088	AN1059,AN2877,AN5879
FALSE	TRUE	2	GO:0007264	small GTPase mediated signal transduction	0.00958	86	19	8.46	0.221	2.019	AN0112,AN0113,AN0163,AN0449,AN2474,AN3438,AN3735,AN3934,AN4036,AN4167,AN4281,AN4685,AN4743,AN4795,AN4998,AN5057,AN5787,AN7487,AN8751
FALSE	TRUE	2	GO:0000920	septum digestion after cytokinesis	0.01036	20	6	1.97	0.3	1.985	AN0472,AN0988,AN4036,AN4496,AN5057,AN7487
FALSE	TRUE	2	GO:0006629	lipid metabolic process	0.01314	407	48	40.05	0.118	1.881	AN0338,AN0432,AN0484,AN0579,AN0649,AN0963,AN10215,AN10396,AN10673,AN1068,AN10887,AN11072,AN1165,AN12429,AN1409,AN1671,AN1769,AN1792,AN1798,AN1921,AN2528,AN2877,AN2925,AN3380,AN4238,AN4278,AN4332,AN4601,AN5309,AN5356,AN5402,AN5644,AN5646,AN5812,AN5833,AN5905,AN5990,AN6382,AN6653,AN6712,AN6752,AN7050,AN7123,AN8046,AN8280,AN8288,AN8743,AN9106
FALSE	TRUE	2	GO:0009612	response to mechanical stimulus	0.01513	6	3	0.59	0.5	1.82	AN1168,AN3735,AN4685
FALSE	TRUE	2	GO:0000755	cytogamy	0.01513	6	3	0.59	0.5	1.82	AN4685,AN5614,AN7743
FALSE	TRUE	2	GO:0009826	unidimensional cell growth	0.01586	16	5	1.57	0.312	1.8	AN0106,AN1168,AN4332,AN4743,AN5797
FALSE	TRUE	2	GO:0006508	proteolysis	0.01682	277	29	27.26	0.105	1.774	AN0127,AN10540,AN10673,AN10900,AN10929,AN11684,AN1179,AN1426,AN1638,AN1639,AN2194,AN2212,AN2946,AN3393,AN3449,AN3470,AN3583,AN3756,AN3959,AN4286,AN4783,AN6438,AN6487,AN6543,AN6888,AN7962,AN8074,AN8445,AN8681
