hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019953	sexual reproduction	31	31/1077	AN4998/AN4783/AN4685/AN4601/AN8751/AN8605/AN4238/AN10515/AN3583/AN7252/AN7104/AN7487/AN7678/AN7743/AN5798/AN6487/AN6578/AN6749/AN6866/AN6892/AN1171/AN1016/AN0988/AN0472/AN0420/AN0081/AN2269/AN2426/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0019954	asexual reproduction	21	21/1077	AN4496/AN8751/AN4238/AN10515/AN3735/AN7104/AN7032/AN7487/AN7687/AN6037/AN6578/AN1324/AN1171/AN1168/AN1016/AN0420/AN0081/AN1485/AN2269/AN3470/AN5635
FALSE	TRUE	2	GO:0022414	reproductive process	39	39/1077	AN5057/AN4998/AN4783/AN4685/AN4601/AN4496/AN8751/AN8605/AN4279/AN4238/AN10515/AN3583/AN7252/AN7104/AN7487/AN7678/AN7698/AN7743/AN5798/AN6487/AN6578/AN6749/AN6866/AN6892/AN1399/AN1324/AN1171/AN1016/AN0988/AN0568/AN0472/AN0420/AN0081/AN10192/AN2269/AN2426/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0032505	reproduction of a single-celled organism	17	17/1077	AN4685/AN4601/AN4496/AN8605/AN3735/AN7104/AN7487/AN7678/AN7743/AN1324/AN1171/AN1016/AN0988/AN2269/AN3090/AN5635/AN5614
FALSE	TRUE	2	GO:0055114	oxidation-reduction process	77	77/1077	AN4977/AN4743/AN12465/AN8793/AN8657/AN7890/AN7998/AN8004/AN8218/AN4114/AN3902/AN3880/AN3829/AN12478/AN3741/AN3591/AN7267/AN7084/AN10887/AN7518/AN10950/AN10811/AN6431/AN6329/AN6297/AN6101/AN6045/AN5909/AN5905/AN5838/AN5837/AN6752/AN6755/AN11981/AN1139/AN1131/AN1087/AN1059/AN1035/AN1003/AN0942/AN0797/AN0595/AN0567/AN10099/AN0432/AN0423/AN0377/AN10060/AN0338/AN0174/AN9011/AN9007/AN9005/AN1469/AN10215/AN1601/AN1676/AN1731/AN1733/AN1743/AN1868/AN1897/AN1899/AN1921/AN2332/AN9103/AN3339/AN2999/AN2866/AN2860/AN2835/AN9457/AN5690/AN5665/AN5646/AN5644
FALSE	TRUE	2	GO:0006807	nitrogen compound metabolic process	257	257/1077	AN5060/AN5057/AN4949/AN4933/AN4896/AN10606/AN4809/AN4783/AN4743/AN4707/AN4697/AN4652/AN4587/AN4520/AN4519/AN4475/AN4468/AN4467/AN4452/AN4332/AN10540/AN8867/AN8843/AN8751/AN8724/AN8681/AN8680/AN8671/AN8645/AN8611/AN8605/AN7921/AN7951/AN7962/AN7997/AN12402/AN8066/AN8074/AN8079/AN8111/AN8164/AN8170/AN8176/AN11059/AN8218/AN11072/AN8293/AN4286/AN4279/AN4244/AN4238/AN10515/AN4175/AN4058/AN10497/AN4013/AN3959/AN3933/AN3928/AN3890/AN3868/AN3867/AN3829/AN12478/AN3769/AN10444/AN3756/AN3684/AN3683/AN3628/AN3593/AN3583/AN10937/AN7358/AN10929/AN10903/AN10900/AN7118/AN7115/AN7104/AN7050/AN7032/AN7019/AN7424/AN7545/AN7563/AN10950/AN7666/AN7678/AN10991/AN7725/AN10819/AN6438/AN6384/AN6346/AN6329/AN6293/AN6251/AN6218/AN10780/AN10789/AN6192/AN6182/AN6110/AN6069/AN6037/AN10761/AN5909/AN5905/AN5865/AN5812/AN6487/AN6543/AN6604/AN6653/AN6675/AN6698/AN6713/AN6768/AN6820/AN6832/AN6866/AN6888/AN6892/AN6893/AN11250/AN10865/AN10869/AN6968/AN9390/AN1403/AN1242/AN1202/AN1179/AN1175/AN1172/AN1171/AN1168/AN1165/AN1123/AN10164/AN1059/AN10139/AN1035/AN1016/AN0988/AN0978/AN0974/AN10131/AN0835/AN0797/AN0757/AN0748/AN0585/AN0568/AN0486/AN0445/AN0421/AN0321/AN0253/AN0252/AN0202/AN0174/AN0147/AN0127/AN10019/AN0106/AN0081/AN0070/AN10007/AN8883/AN1406/AN1426/AN10192/AN1469/AN1485/AN1502/AN1508/AN10215/AN1554/AN1638/AN1639/AN1673/AN1731/AN1733/AN1743/AN1769/AN1798/AN1809/AN1867/AN1896/AN1897/AN1898/AN1899/AN2025/AN2046/AN12489/AN2141/AN2144/AN2163/AN2194/AN2212/AN2243/AN2256/AN2268/AN2269/AN2373/AN12120/AN2426/AN2446/AN11962/AN9157/AN9116/AN11165/AN9096/AN9094/AN11183/AN3470/AN3449/AN3448/AN3393/AN3356/AN3216/AN3120/AN3090/AN2999/AN2988/AN2946/AN2910/AN2905/AN2901/AN2877/AN11684/AN2850/AN2829/AN9458/AN2796/AN2759/AN10336/AN12316/AN2661/AN2623/AN8323/AN8426/AN8445/AN8473/AN12256/AN8545/AN10649/AN5691/AN5690/AN5655/AN5644/AN5631/AN12437/AN5593/AN10673
FALSE	TRUE	2	GO:0009056	catabolic process	81	81/1077	AN5060/AN4948/AN4783/AN4372/AN8751/AN8681/AN8007/AN8046/AN8074/AN8138/AN11059/AN4278/AN4238/AN3829/AN10444/AN3756/AN3613/AN10903/AN7050/AN10950/AN7847/AN6438/AN6351/AN6251/AN6182/AN6037/AN6035/AN5812/AN6543/AN6653/AN6752/AN6893/AN11250/AN9389/AN9390/AN1202/AN1179/AN1140/AN10164/AN1059/AN1016/AN0942/AN0472/AN0445/AN0423/AN10060/AN0127/AN0070/AN1502/AN10215/AN1571/AN1638/AN1639/AN1731/AN1733/AN1772/AN1896/AN1897/AN1898/AN1899/AN10274/AN2212/AN2243/AN2331/AN2528/AN9106/AN3470/AN3201/AN2988/AN2910/AN2901/AN2877/AN11684/AN5214/AN5655/AN5646/AN5644/AN5635/AN10673/AN5356/AN5309
FALSE	TRUE	2	GO:0009058	biosynthetic process	174	174/1077	AN4949/AN4933/AN10606/AN4783/AN4743/AN4697/AN4652/AN4475/AN4468/AN4452/AN4332/AN8867/AN8843/AN8724/AN8671/AN8645/AN7901/AN7921/AN7951/AN7997/AN7998/AN12402/AN8066/AN8079/AN8111/AN8164/AN8176/AN8218/AN11072/AN4279/AN4238/AN4175/AN4058/AN10497/AN4013/AN3933/AN3928/AN3868/AN12478/AN3769/AN3684/AN3683/AN3593/AN7358/AN7252/AN7123/AN7118/AN7104/AN7084/AN7050/AN7032/AN7487/AN7545/AN7621/AN7666/AN10991/AN7725/AN7819/AN6447/AN6346/AN6293/AN6251/AN6218/AN10789/AN6182/AN6069/AN6037/AN10761/AN5909/AN5905/AN5885/AN5812/AN6698/AN6749/AN6820/AN6832/AN6866/AN6880/AN6968/AN1403/AN1242/AN1202/AN1179/AN1165/AN1123/AN1035/AN1016/AN0988/AN0978/AN0974/AN10131/AN0942/AN0835/AN10124/AN0797/AN0748/AN0585/AN0581/AN0579/AN0568/AN0486/AN0445/AN0432/AN10060/AN0321/AN0253/AN0252/AN0202/AN0147/AN10019/AN0106/AN0081/AN8883/AN1406/AN1409/AN10192/AN1485/AN10215/AN1554/AN1639/AN1673/AN1731/AN1733/AN1743/AN1798/AN1896/AN1897/AN1898/AN1899/AN2025/AN2046/AN12489/AN2141/AN2163/AN2243/AN2268/AN2269/AN12120/AN2426/AN2446/AN11962/AN9157/AN9116/AN11165/AN9096/AN9094/AN11183/AN3470/AN3449/AN3448/AN3380/AN10396/AN3356/AN3216/AN3120/AN2999/AN2905/AN2850/AN2829/AN9458/AN2796/AN10336/AN12316/AN2661/AN2623/AN8426/AN8473/AN8518/AN10649/AN5691/AN5655/AN5644/AN5591/AN5324
FALSE	TRUE	2	GO:0009892	negative regulation of metabolic process	23	23/1077	AN4783/AN8751/AN8724/AN4279/AN7545/AN6293/AN6749/AN6892/AN6893/AN11250/AN1179/AN10164/AN1016/AN0988/AN0974/AN0253/AN10019/AN0106/AN1485/AN1639/AN2141/AN2426/AN9116
FALSE	TRUE	2	GO:0009893	positive regulation of metabolic process	16	16/1077	AN4933/AN8645/AN8170/AN4238/AN3628/AN7104/AN7050/AN6293/AN6893/AN0988/AN0202/AN0106/AN0081/AN2269/AN3090/AN2877
