gene	cluster
AN5093	Cluster_12
AN5092	Cluster_8
AN12284	Cluster_7
AN5091	Cluster_10
AN11461	Cluster_12
AN5090	Cluster_12
AN5089	Cluster_11
AN10630	Cluster_12
AN5088	Cluster_12
AN5087	Cluster_12
AN5086	Cluster_12
AN10628	Cluster_12
AN10629	Cluster_12
AN10626	Cluster_12
AN10631	Cluster_12
AN5083	Cluster_12
AN5082	Cluster_11
AN5081	Cluster_9
AN12281	Cluster_10
AN10625	Cluster_11
AN10627	Cluster_12
AN5079	Cluster_11
AN5078	Cluster_12
AN12280	Cluster_12
AN12279	Cluster_2
AN5076	Cluster_2
AN5075	Cluster_12
AN5074	Cluster_12
AN5073	Cluster_12
AN5072	Cluster_12
AN5071	Cluster_12
AN5070	Cluster_12
AN5069	Cluster_9
AN5068	Cluster_9
AN5067	Cluster_9
AN5066	Cluster_12
AN5065	Cluster_12
AN5063	Cluster_12
AN5062	Cluster_12
AN5061	Cluster_12
AN11457	Cluster_12
AN5060	Cluster_12
AN5059	Cluster_12
AN12398	Cluster_12
AN12397	Cluster_12
AN5057	Cluster_12
AN5056	Cluster_11
AN11456	Cluster_11
AN5055	Cluster_1
AN12396	Cluster_6
AN5054	Cluster_8
AN5053	Cluster_12
AN5052	Cluster_12
AN5051	Cluster_1
AN5050	Cluster_6
AN5049	Cluster_11
AN5048	Cluster_12
AN5047	Cluster_12
AN5046	Cluster_12
AN10613	Cluster_12
AN10624	Cluster_12
AN5044	Cluster_12
AN10623	Cluster_12
AN10612	Cluster_12
AN5041	Cluster_12
AN5040	Cluster_12
AN5039	Cluster_12
AN5038	Cluster_12
AN11455	Cluster_12
AN5037	Cluster_12
AN11780	Cluster_12
AN5036	Cluster_12
AN5035	Cluster_9
AN5034	Cluster_12
AN5033	Cluster_12
AN5032	Cluster_12
AN5031	Cluster_12
AN5030	Cluster_12
AN5029	Cluster_12
AN5028	Cluster_8
AN11779	Cluster_7
AN5027	Cluster_8
AN5026	Cluster_12
AN5025	Cluster_12
AN5024	Cluster_12
AN5023	Cluster_12
AN5022	Cluster_12
AN5021	Cluster_11
AN5020	Cluster_12
AN5019	Cluster_12
AN5018	Cluster_12
AN5017	Cluster_12
AN5016	Cluster_12
AN5015	Cluster_12
AN5014	Cluster_11
AN5013	Cluster_12
AN11778	Cluster_11
AN11777	Cluster_10
AN5011	Cluster_11
AN5010	Cluster_6
AN11776	Cluster_2
AN5009	Cluster_3
AN5008	Cluster_12
AN11775	Cluster_12
AN5007	Cluster_12
AN10611	Cluster_12
AN10621	Cluster_12
AN5005	Cluster_12
AN5004	Cluster_12
AN5003	Cluster_8
AN5002	Cluster_6
AN11774	Cluster_12
AN11773	Cluster_12
AN10622	Cluster_12
AN5000	Cluster_8
AN4999	Cluster_10
AN4998	Cluster_8
AN4997	Cluster_12
AN4996	Cluster_11
AN4995	Cluster_11
AN4994	Cluster_12
AN4993	Cluster_12
AN4992	Cluster_12
AN4991	Cluster_4
AN4990	Cluster_2
AN4989	Cluster_9
AN4988	Cluster_9
AN4987	Cluster_8
AN4986	Cluster_11
AN4985	Cluster_10
AN4984	Cluster_8
AN4983	Cluster_12
AN11772	Cluster_12
AN4982	Cluster_12
AN4981	Cluster_12
AN4980	Cluster_12
AN11771	Cluster_12
AN4979	Cluster_12
AN4978	Cluster_12
AN4977	Cluster_8
AN4976	Cluster_9
AN4975	Cluster_12
AN4974	Cluster_10
AN4973	Cluster_8
AN4972	Cluster_12
AN4971	Cluster_12
AN4970	Cluster_12
AN4969	Cluster_11
AN10610	Cluster_11
AN10620	Cluster_12
AN4967	Cluster_12
AN4966	Cluster_12
AN4965	Cluster_11
AN4964	Cluster_10
AN4963	Cluster_11
AN4962	Cluster_12
AN4961	Cluster_12
AN4960	Cluster_12
AN4959	Cluster_12
AN4958	Cluster_12
AN4957	Cluster_9
AN4956	Cluster_9
AN4955	Cluster_11
AN4954	Cluster_12
AN4953	Cluster_8
AN4952	Cluster_11
AN4951	Cluster_11
AN4950	Cluster_12
AN4949	Cluster_11
AN4948	Cluster_11
AN4947	Cluster_12
AN4946	Cluster_12
AN4945	Cluster_11
AN4944	Cluster_12
AN4943	Cluster_12
AN4942	Cluster_12
AN4941	Cluster_11
AN4940	Cluster_11
AN4939	Cluster_11
AN4938	Cluster_9
AN4937	Cluster_11
AN4936	Cluster_6
AN4935	Cluster_4
AN4934	Cluster_12
AN4933	Cluster_12
AN4932	Cluster_12
AN4931	Cluster_12
AN4930	Cluster_11
AN11770	Cluster_11
AN4929	Cluster_8
AN4928	Cluster_12
AN4927	Cluster_12
AN4926	Cluster_12
AN4925	Cluster_9
AN4924	Cluster_9
AN4923	Cluster_9
AN11769	Cluster_12
AN4922	Cluster_12
AN4921	Cluster_12
AN11768	Cluster_3
AN4920	Cluster_1
AN4919	Cluster_12
AN4918	Cluster_12
AN4917	Cluster_12
AN4916	Cluster_12
AN4915	Cluster_9
AN4914	Cluster_12
AN4913	Cluster_12
AN4912	Cluster_12
AN4911	Cluster_12
AN4910	Cluster_12
AN4909	Cluster_12
AN4908	Cluster_12
AN4907	Cluster_10
AN4906	Cluster_9
AN4905	Cluster_11
AN10615	Cluster_11
AN4904	Cluster_12
AN4903	Cluster_12
AN4902	Cluster_12
AN4901	Cluster_12
AN10614	Cluster_11
AN4900	Cluster_4
AN4899	Cluster_3
AN4898	Cluster_8
AN4897	Cluster_1
AN4896	Cluster_11
AN4895	Cluster_11
AN4894	Cluster_11
AN4893	Cluster_12
AN4892	Cluster_11
AN4891	Cluster_11
AN4890	Cluster_12
AN11253	Cluster_12
AN4889	Cluster_2
AN4888	Cluster_2
AN4887	Cluster_9
AN4886	Cluster_12
AN10609	Cluster_12
AN10618	Cluster_12
AN10619	Cluster_12
AN4884	Cluster_12
AN4883	Cluster_12
AN4882	Cluster_12
AN4881	Cluster_9
AN4880	Cluster_9
AN4879	Cluster_8
AN4878	Cluster_8
AN4877	Cluster_6
AN4876	Cluster_10
AN4875	Cluster_12
AN4874	Cluster_12
AN4873	Cluster_12
AN4872	Cluster_11
AN4871	Cluster_9
AN11767	Cluster_7
AN4870	Cluster_12
AN4869	Cluster_12
AN4868	Cluster_12
AN4867	Cluster_12
AN4866	Cluster_11
AN4865	Cluster_10
AN4864	Cluster_12
AN4863	Cluster_12
AN4862	Cluster_12
AN4861	Cluster_12
AN11766	Cluster_12
AN4860	Cluster_12
AN4859	Cluster_1
AN10617	Cluster_12
AN10608	Cluster_12
AN11765	Cluster_12
AN4857	Cluster_12
AN10616	Cluster_9
AN12479	Cluster_10
AN9526	Cluster_11
AN4855	Cluster_12
AN20051	Cluster_11
AN4854	Cluster_11
AN4853	Cluster_9
AN4852	Cluster_12
AN10603	Cluster_12
AN10606	Cluster_12
AN4850	Cluster_12
AN4849	Cluster_12
AN4848	Cluster_11
AN10602	Cluster_12
AN10605	Cluster_12
AN4846	Cluster_11
AN4845	Cluster_12
AN10604	Cluster_2
AN10601	Cluster_10
AN4843	Cluster_11
AN4842	Cluster_12
AN4841	Cluster_12
AN4840	Cluster_12
AN4839	Cluster_12
AN4838	Cluster_12
AN4837	Cluster_12
AN4836	Cluster_12
AN4835	Cluster_12
AN4834	Cluster_11
AN4833	Cluster_11
AN4832	Cluster_11
AN4831	Cluster_12
AN4830	Cluster_11
AN4829	Cluster_11
AN10599	Cluster_11
AN10600	Cluster_12
AN4827	Cluster_12
AN4826	Cluster_10
AN4825	Cluster_9
AN4824	Cluster_11
AN4823	Cluster_12
AN9445	Cluster_12
AN9446	Cluster_12
AN11232	Cluster_12
AN11233	Cluster_12
AN4822	Cluster_12
AN4821	Cluster_12
AN10597	Cluster_12
AN4820	Cluster_12
AN4819	Cluster_12
AN4818	Cluster_1
AN4817	Cluster_1
AN4816	Cluster_3
AN4815	Cluster_12
AN12225	Cluster_8
AN4814	Cluster_1
AN4813	Cluster_11
AN4812	Cluster_11
AN4811	Cluster_12
AN4810	Cluster_12
AN4809	Cluster_9
AN10598	Cluster_9
AN10595	Cluster_8
AN4807	Cluster_10
AN4806	Cluster_10
AN4805	Cluster_12
AN4804	Cluster_12
AN4803	Cluster_12
AN4802	Cluster_11
AN4801	Cluster_12
AN4800	Cluster_11
AN4799	Cluster_12
AN10594	Cluster_12
AN10596	Cluster_12
AN4797	Cluster_11
AN4796	Cluster_12
AN4795	Cluster_12
AN4794	Cluster_11
AN4793	Cluster_12
AN4792	Cluster_11
AN4791	Cluster_12
AN4790	Cluster_12
AN4789	Cluster_12
AN4788	Cluster_12
AN4787	Cluster_12
AN4786	Cluster_12
AN4785	Cluster_9
AN4784	Cluster_3
AN12224	Cluster_7
AN4783	Cluster_10
AN4782	Cluster_11
AN4781	Cluster_8
AN4780	Cluster_11
AN4779	Cluster_10
AN4778	Cluster_9
AN4777	Cluster_11
AN4776	Cluster_12
AN4775	Cluster_9
AN4774	Cluster_11
AN12223	Cluster_11
AN4773	Cluster_10
AN12222	Cluster_12
AN12221	Cluster_11
AN4771	Cluster_12
AN9485	Cluster_12
AN9486	Cluster_12
AN10593	Cluster_9
AN4770	Cluster_2
AN4769	Cluster_9
AN4768	Cluster_12
AN4767	Cluster_12
AN4766	Cluster_12
AN10584	Cluster_12
AN10591	Cluster_12
AN4764	Cluster_12
AN4763	Cluster_11
AN4762	Cluster_11
AN4761	Cluster_12
AN4760	Cluster_11
AN4759	Cluster_9
AN4758	Cluster_9
AN4757	Cluster_11
AN10583	Cluster_11
AN10586	Cluster_11
AN10590	Cluster_11
AN4755	Cluster_11
AN4754	Cluster_12
AN4753	Cluster_12
AN4752	Cluster_12
AN4751	Cluster_12
AN4750	Cluster_11
AN4749	Cluster_12
AN4748	Cluster_12
AN4747	Cluster_8
AN4746	Cluster_10
AN4745	Cluster_10
AN4744	Cluster_11
AN4743	Cluster_12
AN4742	Cluster_8
AN11978	Cluster_3
AN4741	Cluster_3
AN4740	Cluster_11
AN4739	Cluster_12
AN4738	Cluster_12
AN10582	Cluster_12
AN10585	Cluster_11
AN4736	Cluster_11
AN4735	Cluster_11
AN4734	Cluster_12
AN4733	Cluster_9
AN4732	Cluster_8
AN4731	Cluster_11
AN4730	Cluster_11
AN4729	Cluster_11
AN4728	Cluster_10
AN4727	Cluster_11
AN4726	Cluster_12
AN4725	Cluster_12
AN4724	Cluster_12
AN4723	Cluster_10
AN4722	Cluster_3
AN11977	Cluster_6
AN4721	Cluster_6
AN11976	Cluster_6
AN4720	Cluster_8
AN4719	Cluster_12
AN4718	Cluster_12
AN4717	Cluster_12
AN4716	Cluster_9
AN4715	Cluster_12
AN4714	Cluster_11
AN4713	Cluster_11
AN10589	Cluster_8
AN10581	Cluster_2
AN4711	Cluster_10
AN4710	Cluster_10
AN4709	Cluster_12
AN4708	Cluster_12
AN4707	Cluster_11
AN4706	Cluster_11
AN4705	Cluster_11
AN4704	Cluster_12
AN4703	Cluster_12
AN4702	Cluster_1
AN4701	Cluster_2
AN4700	Cluster_3
AN4699	Cluster_4
AN4698	Cluster_9
AN10592	Cluster_12
AN4697	Cluster_11
AN4696	Cluster_11
AN4695	Cluster_1
AN4694	Cluster_12
AN10580	Cluster_11
AN10588	Cluster_12
AN4692	Cluster_8
AN4691	Cluster_9
AN4690	Cluster_12
AN4689	Cluster_12
AN4688	Cluster_12
AN4687	Cluster_12
AN4686	Cluster_12
AN4685	Cluster_12
AN4684	Cluster_12
AN11975	Cluster_11
AN4683	Cluster_12
AN4682	Cluster_12
AN4681	Cluster_12
AN4680	Cluster_4
AN11974	Cluster_7
AN4678	Cluster_8
AN4677	Cluster_12
AN4676	Cluster_10
AN4675	Cluster_7
AN4674	Cluster_3
AN4673	Cluster_12
AN4672	Cluster_12
AN4671	Cluster_12
AN4670	Cluster_12
AN4669	Cluster_12
AN4668	Cluster_11
AN11973	Cluster_12
AN4667	Cluster_9
AN4666	Cluster_9
AN4665	Cluster_12
AN4664	Cluster_12
AN4663	Cluster_12
AN4662	Cluster_12
AN4660	Cluster_12
AN4659	Cluster_12
AN4658	Cluster_8
AN12165	Cluster_10
AN4657	Cluster_9
AN4656	Cluster_6
AN4655	Cluster_6
AN4654	Cluster_1
AN4653	Cluster_12
AN4652	Cluster_11
AN10574	Cluster_6
AN10578	Cluster_9
AN4650	Cluster_9
AN4649	Cluster_10
AN4648	Cluster_12
AN4647	Cluster_12
AN4646	Cluster_12
AN4645	Cluster_12
AN4644	Cluster_12
AN4643	Cluster_12
AN4642	Cluster_9
AN10573	Cluster_12
AN10576	Cluster_12
AN4640	Cluster_12
AN4639	Cluster_12
AN4638	Cluster_12
AN12164	Cluster_12
AN4637	Cluster_11
AN4636	Cluster_11
AN10572	Cluster_12
AN10575	Cluster_9
AN4634	Cluster_12
AN4633	Cluster_11
AN4632	Cluster_11
AN4631	Cluster_12
AN4630	Cluster_12
AN4628	Cluster_12
AN4629	Cluster_12
