hasPeak.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	1	GO:0006412	translation	5.3e-08	457	57	43.04	0.125	7.276	AN0278,AN0465,AN0776,AN0843,AN0907,AN0974,AN0978,AN10416,AN10557,AN1080,AN1158,AN11773,AN12011,AN1228,AN1345,AN1521,AN2246,AN2856,AN2992,AN3172,AN3173,AN3462,AN3702,AN3824,AN4060,AN4086,AN4087,AN4163,AN4202,AN4308,AN4494,AN4522,AN4594,AN4652,AN4872,AN4916,AN5222,AN5662,AN5979,AN5997,AN6146,AN6202,AN6302,AN6632,AN7354,AN7479,AN7554,AN8191,AN8705,AN8712,AN8800,AN8853,AN8867,AN9157,AN9465,AN9468,AN9469
FALSE	FALSE	FALSE	TRUE	1	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.6e-06	52	20	4.9	0.385	5.444	AN0305,AN0421,AN0465,AN1345,AN1434,AN2292,AN2759,AN3167,AN3172,AN3313,AN3745,AN4226,AN4594,AN5222,AN6556,AN6561,AN6585,AN7526,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	1	GO:0000278	mitotic cell cycle	6.4e-06	264	56	24.87	0.212	5.194	AN0253,AN0316,AN0420,AN0872,AN1019,AN10206,AN10635,AN10755,AN11032,AN1171,AN1324,AN1398,AN1546,AN1560,AN1875,AN1922,AN2143,AN2246,AN2317,AN3154,AN3437,AN3622,AN3648,AN3735,AN3910,AN4085,AN4163,AN4493,AN4513,AN4597,AN4685,AN4804,AN4961,AN4996,AN5057,AN5494,AN5518,AN5631,AN5686,AN5717,AN5815,AN5885,AN5899,AN6147,AN6590,AN6896,AN7296,AN7325,AN7439,AN8013,AN8783,AN8836,AN8862,AN9113,AN9435,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0000028	ribosomal small subunit assembly	0.00021	11	6	1.04	0.545	3.678	AN0421,AN3172,AN4872,AN5222,AN5979,AN6632
FALSE	FALSE	FALSE	TRUE	1	GO:0006407	rRNA export from nucleus	0.00021	11	6	1.04	0.545	3.678	AN0843,AN3172,AN4060,AN4087,AN5997,AN6632
FALSE	FALSE	FALSE	TRUE	1	GO:0043087	regulation of GTPase activity	0.00021	15	7	1.41	0.467	3.678	AN11500,AN3735,AN4317,AN6590,AN6825,AN8828,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0030448	hyphal growth	0.00032	188	33	17.71	0.176	3.495	AN0163,AN0253,AN0268,AN10647,AN11032,AN11063,AN1168,AN1171,AN1191,AN1324,AN1560,AN2246,AN2281,AN2516,AN3026,AN3095,AN3683,AN3735,AN3841,AN4238,AN4685,AN4743,AN4819,AN5020,AN5057,AN5529,AN6037,AN6225,AN6510,AN7032,AN8836,AN8848,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0006891	intra-Golgi vesicle-mediated transport	0.00034	16	7	1.51	0.438	3.469	AN0762,AN11500,AN1973,AN6825,AN7462,AN8488,AN8828
FALSE	FALSE	FALSE	TRUE	1	GO:0008298	intracellular mRNA localization	0.00036	5	4	0.47	0.8	3.444	AN10280,AN1158,AN11773,AN6556
FALSE	FALSE	FALSE	TRUE	1	GO:0034501	protein localization to kinetochore	0.00054	17	7	1.6	0.412	3.268	AN2054,AN4513,AN4804,AN5057,AN5631,AN5815,AN7296
FALSE	FALSE	FALSE	TRUE	1	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00075	28	9	2.64	0.321	3.125	AN0305,AN0421,AN1434,AN2759,AN3167,AN3172,AN3745,AN6556,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.00078	110	22	10.36	0.2	3.108	AN0163,AN0305,AN10701,AN11793,AN12465,AN1546,AN2278,AN2516,AN3095,AN3583,AN4202,AN4380,AN4685,AN6496,AN6687,AN7697,AN7766,AN8044,AN8488,AN8836,AN9126,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:0010948	negative regulation of cell cycle process	0.00081	95	21	8.95	0.221	3.092	AN0872,AN1019,AN10701,AN2143,AN2246,AN3648,AN3735,AN3806,AN4085,AN4493,AN4513,AN4530,AN4936,AN5057,AN5494,AN5815,AN6147,AN6590,AN6896,AN7296,AN9113
FALSE	FALSE	FALSE	TRUE	1	GO:0070932	histone H3 deacetylation	0.001	6	4	0.57	0.667	3	AN4493,AN7019,AN7461,AN8042
FALSE	FALSE	FALSE	TRUE	1	GO:0030466	chromatin silencing at silent mating-type cassette	0.00149	35	12	3.3	0.343	2.827	AN0297,AN1039,AN10621,AN1191,AN1491,AN1546,AN2973,AN4493,AN4783,AN4891,AN6687,AN8042
FALSE	FALSE	FALSE	TRUE	1	GO:0042273	ribosomal large subunit biogenesis	0.00159	58	15	5.46	0.259	2.799	AN0776,AN10943,AN1228,AN1875,AN3745,AN4560,AN5520,AN5702,AN5865,AN6202,AN6310,AN6374,AN6556,AN7424,AN8491
FALSE	FALSE	FALSE	TRUE	1	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00163	15	6	1.41	0.4	2.788	AN0305,AN0421,AN1434,AN2759,AN3167,AN6556
FALSE	FALSE	FALSE	TRUE	1	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00163	15	6	1.41	0.4	2.788	AN0305,AN0421,AN1434,AN2759,AN3167,AN6556
FALSE	FALSE	FALSE	TRUE	1	GO:0030702	chromatin silencing at centromere	0.00165	30	9	2.83	0.3	2.783	AN10635,AN1191,AN1491,AN1546,AN4493,AN4783,AN6687,AN7461,AN8042
FALSE	FALSE	FALSE	TRUE	1	GO:0042254	ribosome biogenesis	0.00182	187	52	17.61	0.278	2.74	AN0305,AN0421,AN0465,AN0776,AN0843,AN10175,AN10280,AN10712,AN10719,AN10943,AN11145,AN1175,AN11773,AN1228,AN1345,AN1434,AN1875,AN2292,AN2759,AN3096,AN3167,AN3172,AN3313,AN3455,AN3745,AN4060,AN4087,AN4226,AN4560,AN4594,AN4872,AN4916,AN5222,AN5520,AN5702,AN5865,AN5979,AN5997,AN6171,AN6202,AN6310,AN6334,AN6374,AN6556,AN6561,AN6585,AN6632,AN7424,AN7526,AN8491,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	1	GO:0016559	peroxisome fission	0.00217	7	4	0.66	0.571	2.664	AN1921,AN4492,AN6225,AN6867
FALSE	FALSE	FALSE	TRUE	1	GO:0009826	unidimensional cell growth	0.00241	16	6	1.51	0.375	2.618	AN0106,AN1168,AN2464,AN4743,AN5020,AN8862
FALSE	FALSE	FALSE	TRUE	1	GO:0051666	actin cortical patch localization	0.00241	16	6	1.51	0.375	2.618	AN10804,AN2516,AN3735,AN4685,AN5100,AN5686
FALSE	FALSE	FALSE	TRUE	1	GO:0000731	DNA synthesis involved in DNA repair	0.00307	15	7	1.41	0.467	2.513	AN0304,AN10755,AN2163,AN2446,AN3909,AN7325,AN7439
FALSE	FALSE	FALSE	TRUE	1	GO:0006271	DNA strand elongation involved in DNA replication	0.00329	19	7	1.79	0.368	2.483	AN0253,AN10635,AN2446,AN6300,AN6303,AN6517,AN7325
FALSE	FALSE	FALSE	TRUE	1	GO:0070914	UV-damage excision repair	0.00331	12	5	1.13	0.417	2.48	AN2446,AN6300,AN6303,AN6517,AN7325
FALSE	FALSE	FALSE	TRUE	1	GO:0051056	regulation of small GTPase mediated signal transduction	0.00397	35	10	3.3	0.286	2.401	AN0112,AN0113,AN1560,AN3092,AN3735,AN4085,AN5057,AN5787,AN6590,AN9463
FALSE	FALSE	FALSE	TRUE	1	GO:0071214	cellular response to abiotic stimulus	0.00398	129	18	12.15	0.14	2.4	AN0423,AN1168,AN2246,AN2278,AN2446,AN3095,AN3583,AN3735,AN3797,AN4685,AN5057,AN5529,AN5635,AN6300,AN6303,AN6517,AN7325,AN7697
FALSE	FALSE	FALSE	TRUE	1	GO:0006497	protein lipidation	0.00401	32	7	3.01	0.219	2.397	AN0636,AN11004,AN11019,AN2240,AN3470,AN5824,AN6496
FALSE	FALSE	FALSE	TRUE	1	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.00402	8	4	0.75	0.5	2.396	AN1521,AN3602,AN4585,AN7628
FALSE	FALSE	FALSE	TRUE	1	GO:0051345	positive regulation of hydrolase activity	0.00496	13	5	1.22	0.385	2.305	AN0420,AN4317,AN5686,AN5814,AN6590
FALSE	FALSE	FALSE	TRUE	1	GO:0015031	protein transport	0.00625	310	63	29.2	0.203	2.204	AN0112,AN0261,AN0349,AN0819,AN0843,AN0906,AN10215,AN10526,AN1068,AN10710,AN1089,AN10943,AN11063,AN1157,AN1190,AN1245,AN12491,AN1345,AN1560,AN1973,AN2281,AN2480,AN2925,AN3026,AN3172,AN3455,AN3470,AN3745,AN3842,AN3843,AN3934,AN4053,AN4060,AN4087,AN4167,AN4318,AN4743,AN4782,AN5020,AN5100,AN5113,AN5519,AN5632,AN5693,AN5717,AN5824,AN5865,AN5997,AN6006,AN6248,AN6269,AN6334,AN6510,AN6556,AN6580,AN6591,AN6632,AN7029,AN7047,AN8836,AN9124,AN9396,AN9398
FALSE	FALSE	FALSE	TRUE	1	GO:1902440	protein localization to mitotic spindle pole body	0.00669	9	4	0.85	0.444	2.175	AN11032,AN1560,AN4085,AN5057
FALSE	FALSE	FALSE	TRUE	1	GO:0006570	tyrosine metabolic process	0.00669	9	4	0.85	0.444	2.175	AN1897,AN1898,AN1899,AN5644
FALSE	FALSE	FALSE	TRUE	1	GO:0000282	cellular bud site selection	0.00669	9	4	0.85	0.444	2.175	AN1324,AN3622,AN3735,AN4685
FALSE	FALSE	FALSE	TRUE	1	GO:0000280	nuclear division	0.00696	164	30	15.45	0.183	2.157	AN0253,AN0316,AN10206,AN11032,AN1399,AN1560,AN1922,AN2143,AN3026,AN3437,AN3648,AN3735,AN3806,AN3846,AN3910,AN4085,AN4493,AN4513,AN4597,AN4804,AN4996,AN5057,AN5494,AN5631,AN5815,AN5899,AN7296,AN8013,AN8827,AN8836
FALSE	FALSE	FALSE	TRUE	1	GO:0000266	mitochondrial fission	0.0072	5	3	0.47	0.6	2.143	AN4492,AN6225,AN6867
