GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
GO:0043936	asexual sporulation resulting in formation of a cellular spore	8.3e-07	73	44	20.77	0.603	6.081	AN0082,AN0182,AN0186,AN0641,AN0721,AN0787,AN10030,AN1017,AN1037,AN1052,AN1267,AN1555,AN1632,AN1967,AN2059,AN2067,AN2505,AN2687,AN2742,AN2919,AN2936,AN3113,AN3441,AN4501,AN4570,AN4674,AN4706,AN4897,AN4987,AN5028,AN5131,AN5660,AN5740,AN5836,AN5893,AN6318,AN6578,AN6731,AN6898,AN6920,AN7542,AN7683,AN8741,AN8945
GO:0006355	regulation of transcription, DNA-templated	1.2e-06	677	259	192.64	0.383	5.921	AN0096,AN0098,AN0148,AN0162,AN0176,AN0182,AN0241,AN0263,AN0279,AN0364,AN0410,AN0440,AN0533,AN0554,AN0680,AN0689,AN0742,AN0766,AN0863,AN0885,AN0891,AN0902,AN0928,AN10059,AN10120,AN10128,AN1017,AN10191,AN10294,AN10334,AN10378,AN10436,AN10467,AN10541,AN10548,AN10550,AN1060,AN10610,AN10763,AN10854,AN10910,AN10911,AN10912,AN10956,AN11098,AN11099,AN11112,AN11131,AN11169,AN11185,AN1170,AN11704,AN11753,AN1183,AN11891,AN11910,AN11961,AN1217,AN1226,AN1227,AN1232,AN1265,AN1272,AN1303,AN1339,AN1368,AN1402,AN1414,AN1416,AN1425,AN1518,AN1536,AN1678,AN1720,AN1800,AN1812,AN1824,AN1848,AN1893,AN1924,AN1984,AN2001,AN2009,AN2016,AN2020,AN2025,AN2036,AN2136,AN2172,AN2276,AN2290,AN2375,AN2421,AN2489,AN2500,AN2581,AN2597,AN2615,AN2667,AN2852,AN2855,AN2902,AN2911,AN2944,AN2984,AN2996,AN3048,AN3050,AN3067,AN3071,AN3075,AN3101,AN3102,AN3152,AN3214,AN3224,AN3250,AN3280,AN3369,AN3422,AN3423,AN3433,AN3450,AN3468,AN3506,AN3587,AN3607,AN3637,AN3675,AN3688,AN3730,AN3785,AN3835,AN3879,AN3911,AN3919,AN4034,AN4113,AN4118,AN4134,AN4160,AN4210,AN4247,AN4324,AN4335,AN4361,AN4377,AN4479,AN4486,AN4501,AN4521,AN4558,AN4570,AN4741,AN4744,AN4785,AN4818,AN4900,AN4935,AN4976,AN4985,AN4987,AN5052,AN5170,AN5218,AN5220,AN5279,AN5296,AN5299,AN5349,AN5351,AN5643,AN5651,AN5726,AN5747,AN5752,AN5758,AN5775,AN5806,AN5836,AN5849,AN5859,AN5870,AN5893,AN5898,AN5924,AN5955,AN6062,AN6091,AN6129,AN6195,AN6359,AN6392,AN6430,AN6505,AN6684,AN6733,AN6790,AN6828,AN6837,AN6846,AN6849,AN6858,AN6982,AN7012,AN7189,AN7190,AN7297,AN7303,AN7332,AN7459,AN7468,AN7475,AN7507,AN7513,AN7542,AN7572,AN7592,AN7610,AN7661,AN7681,AN7753,AN7872,AN7896,AN7923,AN7994,AN8039,AN8129,AN8168,AN8186,AN8211,AN8251,AN8282,AN8285,AN8298,AN8414,AN8431,AN8590,AN8636,AN8643,AN8655,AN8666,AN8667,AN8694,AN8753,AN8825,AN8858,AN8885,AN8978,AN9008,AN9025,AN9047,AN9095,AN9141,AN9221,AN9395,AN9397,AN9492,AN9516
GO:0000768	syncytium formation by plasma membrane fusion	3.6e-05	29	19	8.25	0.655	4.444	AN10261,AN1848,AN2701,AN3422,AN3719,AN4189,AN4264,AN4632,AN4702,AN4887,AN5131,AN5169,AN5457,AN5458,AN5776,AN6125,AN7297,AN8071,AN8831
GO:0006313	transposition, DNA-mediated	4.3e-05	8	8	2.28	1	4.367	AN0263,AN10066,AN10127,AN10329,AN3048,AN4335,AN5956,AN8186
GO:0035690	cellular response to drug	6.8e-05	210	91	59.76	0.433	4.167	AN0235,AN0363,AN0609,AN0651,AN0771,AN0927,AN0931,AN1017,AN10351,AN1061,AN10709,AN10763,AN10767,AN1085,AN10949,AN11008,AN1126,AN11694,AN11705,AN1189,AN12054,AN1272,AN1367,AN1518,AN1697,AN1901,AN1923,AN2300,AN2687,AN2846,AN2997,AN3113,AN3307,AN3368,AN3422,AN3506,AN3688,AN3719,AN3729,AN3946,AN4189,AN4390,AN4615,AN4668,AN4674,AN4758,AN4770,AN4774,AN4887,AN4894,AN4923,AN5105,AN5119,AN5148,AN5193,AN5296,AN5341,AN5378,AN5493,AN5523,AN5660,AN5740,AN5888,AN5908,AN5918,AN5985,AN6064,AN6118,AN6129,AN6207,AN6330,AN6505,AN6506,AN6566,AN6570,AN6849,AN6982,AN7146,AN7513,AN7657,AN8041,AN8269,AN8283,AN8414,AN8489,AN8502,AN8643,AN8753,AN9339,AN9340,AN9408
GO:0070787	conidiophore development	8.4e-05	83	45	23.62	0.542	4.076	AN0098,AN0118,AN0363,AN0689,AN0863,AN0928,AN0988,AN10193,AN1052,AN1189,AN1536,AN1539,AN1661,AN1800,AN1848,AN2009,AN2489,AN2667,AN2701,AN3113,AN3422,AN3719,AN4479,AN4486,AN4563,AN4667,AN4702,AN4716,AN4878,AN4887,AN4935,AN5105,AN5651,AN5660,AN5836,AN6150,AN6243,AN6688,AN7030,AN7104,AN7572,AN7661,AN7698,AN8547,AN8741
GO:0030448	hyphal growth	9.2e-05	186	77	52.93	0.414	4.036	AN0118,AN0182,AN0410,AN0640,AN0651,AN0667,AN0863,AN1025,AN10709,AN11098,AN1536,AN1539,AN1555,AN1628,AN1661,AN1848,AN2009,AN2067,AN2489,AN2523,AN2701,AN3113,AN3416,AN3422,AN3441,AN3719,AN3730,AN3787,AN3795,AN3813,AN4189,AN4416,AN4486,AN4566,AN4570,AN4632,AN4667,AN4702,AN4716,AN4887,AN4935,AN4987,AN5105,AN5296,AN5457,AN5651,AN5660,AN5740,AN5802,AN5832,AN5836,AN6046,AN6195,AN6243,AN6317,AN6318,AN6330,AN6341,AN6542,AN6566,AN6685,AN6688,AN6697,AN6920,AN7030,AN7077,AN7104,AN7572,AN7576,AN7687,AN7698,AN8009,AN8071,AN8831,AN8863,AN8874,AN9450
GO:0034599	cellular response to oxidative stress	9.3e-05	113	59	32.15	0.522	4.032	AN0158,AN0170,AN0182,AN0241,AN0363,AN0607,AN0609,AN0771,AN0988,AN1017,AN10220,AN10223,AN10949,AN1274,AN1401,AN1632,AN1652,AN2099,AN2846,AN2911,AN3441,AN3581,AN3688,AN3725,AN3793,AN3954,AN3973,AN4215,AN4483,AN4668,AN4736,AN4747,AN4758,AN4987,AN5131,AN5159,AN5447,AN5523,AN5755,AN5823,AN5918,AN5975,AN5991,AN6542,AN6849,AN7189,AN7513,AN7567,AN7572,AN7632,AN7698,AN8080,AN8414,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339
GO:0075306	regulation of conidium formation	0.00012	36	22	10.24	0.611	3.921	AN0055,AN0182,AN0279,AN0363,AN0651,AN0721,AN1052,AN1661,AN2421,AN2742,AN3607,AN3688,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN7542,AN8129,AN9121
GO:0009405	pathogenesis	0.00014	142	61	40.41	0.43	3.854	AN0121,AN0182,AN0235,AN0241,AN0609,AN0807,AN1017,AN10367,AN1069,AN10763,AN1085,AN1358,AN1418,AN1428,AN1555,AN1833,AN1844,AN2067,AN2996,AN3147,AN3387,AN3441,AN3719,AN3729,AN3730,AN3765,AN4215,AN4361,AN4390,AN4419,AN4479,AN4501,AN4515,AN4592,AN4915,AN4987,AN5218,AN5296,AN5634,AN5688,AN5726,AN5823,AN5832,AN5918,AN6230,AN6505,AN6506,AN6541,AN6566,AN7111,AN7170,AN7250,AN7468,AN7632,AN7661,AN7683,AN8251,AN8269,AN8741,AN9397,AN9407
