cluster	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
Cluster_1	GO:0048315	conidium formation	2.6e-07	132	13	2.07	0.098	6.585	AN1052,AN1536,AN1848,AN2009,AN2523,AN2911,AN4563,AN4935,AN5755,AN6317,AN6318,AN7657,AN9339
Cluster_1	GO:0019676	ammonia assimilation cycle	3.8e-06	3	3	0.05	1	5.42	AN4159,AN4376,AN5134
Cluster_1	GO:0071998	ascospore release from ascus	0.00073	3	2	0.05	0.667	3.137	AN0098,AN1536
Cluster_1	GO:0071970	fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process	0.00073	3	2	0.05	0.667	3.137	AN3729,AN7657
Cluster_1	GO:0070787	conidiophore development	0.00092	83	8	1.3	0.096	3.036	AN0098,AN1052,AN1536,AN1848,AN2009,AN2701,AN4563,AN4935
Cluster_1	GO:0000768	syncytium formation by plasma membrane fusion	0.00102	29	4	0.45	0.138	2.991	AN1848,AN2701,AN4264,AN5458
Cluster_1	GO:0009932	cell tip growth	0.00144	4	2	0.06	0.5	2.842	AN6317,AN6318
Cluster_1	GO:0036267	invasive filamentous growth	0.00235	28	3	0.44	0.107	2.629	AN1181,AN4376,AN5134
Cluster_1	GO:0016584	nucleosome positioning	0.0026	18	3	0.28	0.167	2.585	AN0098,AN2911,AN6195
Cluster_1	GO:0030448	hyphal growth	0.00282	188	9	2.95	0.048	2.55	AN1536,AN1848,AN2009,AN2523,AN2701,AN4935,AN6195,AN6317,AN6318
Cluster_1	GO:0006808	regulation of nitrogen utilization	0.00348	11	3	0.17	0.273	2.458	AN0098,AN2944,AN8667
Cluster_1	GO:0071333	cellular response to glucose stimulus	0.00348	15	3	0.24	0.2	2.458	AN1052,AN2130,AN2911
Cluster_1	GO:0019740	nitrogen utilization	0.00456	21	8	0.33	0.381	2.341	AN0098,AN1181,AN2944,AN4159,AN4376,AN5134,AN7463,AN8667
Cluster_1	GO:0006031	chitin biosynthetic process	0.00483	17	3	0.27	0.176	2.316	AN2523,AN6317,AN6318
Cluster_1	GO:0031505	fungal-type cell wall organization	0.00542	108	7	1.69	0.065	2.266	AN10311,AN3729,AN4052,AN4515,AN6317,AN6318,AN7657
Cluster_1	GO:0097308	cellular response to farnesol	0.00571	46	4	0.72	0.087	2.243	AN10518,AN2435,AN4159,AN4376
Cluster_1	GO:0034599	cellular response to oxidative stress	0.00895	121	9	1.9	0.074	2.048	AN1632,AN1652,AN2911,AN3102,AN5447,AN5755,AN5975,AN7513,AN9339
Cluster_1	GO:0044406	adhesion of symbiont to host	0.01002	12	3	0.19	0.25	1.999	AN4052,AN4515,AN8041
Cluster_1	GO:0034605	cellular response to heat	0.0121	57	4	0.89	0.07	1.917	AN1652,AN2911,AN5755,AN5975
Cluster_1	GO:0006338	chromatin remodeling	0.01441	60	4	0.94	0.067	1.841	AN0098,AN2911,AN6195,AN8667
Cluster_1	GO:0070879	fungal-type cell wall beta-glucan metabolic process	0.0155	5	3	0.08	0.6	1.81	AN3729,AN4052,AN7657
Cluster_1	GO:0009448	gamma-aminobutyric acid metabolic process	0.01559	4	2	0.06	0.5	1.807	AN2944,AN5447
Cluster_1	GO:1902808	positive regulation of cell cycle G1/S phase transition	0.0156	7	2	0.11	0.286	1.807	AN2130,AN4935
Cluster_1	GO:0019593	mannitol biosynthetic process	0.01568	1	1	0.02	1	1.805	AN5975
Cluster_1	GO:0071398	cellular response to fatty acid	0.01568	1	1	0.02	1	1.805	AN1037
Cluster_1	GO:0002092	positive regulation of receptor internalization	0.01568	1	1	0.02	1	1.805	AN0056
Cluster_1	GO:0015764	N-acetylglucosamine transport	0.01568	1	1	0.02	1	1.805	AN1427
Cluster_1	GO:0016119	carotene metabolic process	0.01568	1	1	0.02	1	1.805	AN9339
Cluster_1	GO:0042308	negative regulation of protein import into nucleus	0.01568	1	1	0.02	1	1.805	AN4935
Cluster_1	GO:0000080	mitotic G1 phase	0.01568	1	1	0.02	1	1.805	AN4991
Cluster_1	GO:0034412	ascospore wall beta-glucan biosynthetic process	0.01568	1	1	0.02	1	1.805	AN7657
Cluster_1	GO:0009750	response to fructose	0.01568	1	1	0.02	1	1.805	AN6195
Cluster_1	GO:0045848	positive regulation of nitrogen utilization	0.01568	1	1	0.02	1	1.805	AN2944
Cluster_1	GO:1900380	negative regulation of asperthecin biosynthetic process	0.01568	1	1	0.02	1	1.805	AN7513
Cluster_1	GO:1990539	fructose import across plasma membrane	0.01568	1	1	0.02	1	1.805	AN5860
Cluster_1	GO:1900835	negative regulation of emericellin biosynthetic process	0.01568	1	1	0.02	1	1.805	AN7513
Cluster_1	GO:0070994	detection of oxidative stress	0.01568	1	1	0.02	1	1.805	AN3102
Cluster_1	GO:1905342	positive regulation of protein localization to kinetochore	0.01568	1	1	0.02	1	1.805	AN6508
Cluster_1	GO:0098708	glucose import across plasma membrane	0.01568	1	1	0.02	1	1.805	AN5860
Cluster_1	GO:0072489	methylammonium transmembrane transport	0.01568	1	1	0.02	1	1.805	AN7463
Cluster_1	GO:0097054	L-glutamate biosynthetic process	0.01568	1	1	0.02	1	1.805	AN5134
Cluster_1	GO:1904765	positive regulation of transcription from RNA polymerase II promoter in response to maltose	0.01568	1	1	0.02	1	1.805	AN2911
Cluster_1	GO:1901714	positive regulation of urea catabolic process	0.01568	1	1	0.02	1	1.805	AN2944
Cluster_1	GO:1901717	positive regulation of gamma-aminobutyric acid catabolic process	0.01568	1	1	0.02	1	1.805	AN2944
Cluster_1	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.01703	13	2	0.2	0.154	1.769	AN1096,AN9500
Cluster_1	GO:0043945	positive regulation of asexual sporulation resulting in formation of a cellular spore	0.02245	15	2	0.24	0.133	1.649	AN0186,AN1052
Cluster_1	GO:0010845	positive regulation of reciprocal meiotic recombination	0.03095	4	2	0.06	0.5	1.509	AN2911,AN4563
Cluster_1	GO:0006037	cell wall chitin metabolic process	0.03097	12	2	0.19	0.167	1.509	AN4515,AN6318
