hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	FALSE	FALSE	TRUE	01	GO:0019953	sexual reproduction	22	22/823	AN4632/AN4407/AN8672/AN7993/AN11032/AN11063/AN4288/AN4163/AN3594/AN7349/AN7296/AN7570/AN6231/AN6197/AN6190/AN6162/AN1222/AN0999/AN1545/AN10223/AN10229/AN2419
FALSE	FALSE	FALSE	TRUE	01	GO:0019954	asexual reproduction	18	18/823	AN4873/AN4719/AN4632/AN4493/AN9467/AN11032/AN11063/AN7464/AN6197/AN6510/AN12121/AN1370/AN0256/AN1545/AN1560/AN2752/AN10635/AN5726
FALSE	FALSE	FALSE	TRUE	01	GO:0022414	reproductive process	43	43/823	AN4940/AN4873/AN4632/AN4493/AN4407/AN8672/AN7993/AN9467/AN11032/AN8244/AN11063/AN4288/AN4163/AN4096/AN3946/AN11721/AN3619/AN3594/AN7349/AN7296/AN7464/AN7570/AN6231/AN6197/AN6190/AN6162/AN10755/AN5815/AN1370/AN1237/AN1222/AN0999/AN10063/AN0091/AN1545/AN1560/AN10223/AN10229/AN1797/AN2172/AN2419/AN5105/AN5494
FALSE	FALSE	FALSE	TRUE	01	GO:0032505	reproduction of a single-celled organism	12	12/823	AN4632/AN4407/AN7993/AN11032/AN4288/AN3594/AN7570/AN10755/AN12121/AN1237/AN10229/AN2419
FALSE	FALSE	FALSE	TRUE	01	GO:0055114	oxidation-reduction process	51	51/823	AN4792/AN4688/AN4536/AN8770/AN7922/AN7953/AN8041/AN4288/AN4082/AN4054/AN4050/AN4023/AN3917/AN3855/AN3638/AN7274/AN7156/AN10901/AN7632/AN7641/AN11008/AN7818/AN6394/AN10793/AN5883/AN5854/AN6817/AN9308/AN9356/AN1137/AN0876/AN0818/AN0775/AN0774/AN0257/AN10026/AN8982/AN1541/AN10223/AN10229/AN1882/AN12335/AN2314/AN2414/AN11188/AN3291/AN3139/AN2867/AN8406/AN10642/AN5571
FALSE	FALSE	FALSE	TRUE	01	GO:0006807	nitrogen compound metabolic process	311	311/823	AN5014/AN4993/AN4940/AN4932/AN4892/AN4891/AN4874/AN9446/AN4785/AN4727/AN4687/AN4594/AN4571/AN4555/AN4536/AN4523/AN4522/AN4493/AN4492/AN10557/AN4457/AN4415/AN4407/AN8869/AN8858/AN8857/AN8844/AN8796/AN8783/AN8770/AN11124/AN8748/AN8712/AN8705/AN8702/AN11102/AN7923/AN7994/AN9467/AN11032/AN8041/AN8061/AN8106/AN8192/AN8203/AN8204/AN8216/AN8236/AN4258/AN10526/AN4226/AN10523/AN4202/AN10522/AN4166/AN4163/AN4096/AN4093/AN4087/AN4086/AN4054/AN4015/AN3947/AN3946/AN10491/AN3909/AN10489/AN3897/AN3846/AN3830/AN3823/AN3814/AN3761/AN3708/AN3702/AN3669/AN11721/AN3619/AN7325/AN7296/AN7274/AN10910/AN12151/AN10901/AN7121/AN7434/AN7435/AN7436/AN7439/AN7465/AN10943/AN10944/AN10970/AN7608/AN7632/AN7641/AN7681/AN11003/AN7695/AN11004/AN7722/AN7723/AN7746/AN7752/AN7753/AN7820/AN6354/AN6300/AN6283/AN6231/AN6223/AN10788/AN6181/AN6171/AN6162/AN6147/AN6146/AN12045/AN6083/AN6044/AN9469/AN9468/AN5957/AN10755/AN5919/AN5906/AN5902/AN5901/AN5884/AN5883/AN5868/AN5867/AN5820/AN5815/AN5814/AN5808/AN6500/AN12121/AN10832/AN12122/AN6536/AN6556/AN6568/AN6569/AN6572/AN6573/AN12011/AN6629/AN6632/AN6681/AN6682/AN6715/AN6913/AN12491/AN9398/AN9399/AN9406/AN1400/AN9465/AN1369/AN1368/AN1367/AN1345/AN1320/AN1315/AN1263/AN1255/AN1237/AN1228/AN1222/AN1207/AN1205/AN1166/AN1162/AN1137/AN1135/AN1115/AN1080/AN1028/AN0999/AN0937/AN0910/AN0909/AN0893/AN0879/AN0872/AN0818/AN0814/AN0770/AN0752/AN0713/AN0708/AN0658/AN10105/AN10083/AN0490/AN0433/AN0385/AN0349/AN0327/AN0305/AN0304/AN0297/AN10063/AN0278/AN10032/AN0256/AN0235/AN0192/AN0191/AN0189/AN0167/AN0156/AN0153/AN0116/AN0094/AN0091/AN11145/AN8881/AN11146/AN8878/AN1434/AN1446/AN1521/AN1522/AN1545/AN1560/AN1683/AN1708/AN1722/AN1745/AN1810/AN1811/AN1850/AN1883/AN1929/AN1949/AN1964/AN1965/AN1992/AN2119/AN2133/AN2172/AN2214/AN2235/AN10281/AN10280/AN2272/AN2278/AN2285/AN2296/AN2298/AN2304/AN2363/AN2415/AN2437/AN2440/AN2481/AN2491/AN2497/AN11169/AN9125/AN9117/AN3464/AN3455/AN3450/AN10414/AN10416/AN3420/AN3290/AN3173/AN3172/AN10367/AN3116/AN3111/AN3110/AN3108/AN2992/AN10362/AN10349/AN2867/AN2764/AN2763/AN2752/AN2751/AN2747/AN8431/AN5105/AN10635/AN10638/AN5235/AN5793/AN5785/AN5779/AN5732/AN5731/AN5726/AN5701/AN5694/AN10731/AN5662/AN10712/AN5658/AN5586/AN5495/AN5494/AN5408/AN5340/AN5299/AN11950/AN11228
FALSE	FALSE	FALSE	TRUE	01	GO:0009056	catabolic process	72	72/823	AN4874/AN4785/AN4687/AN4493/AN4492/AN4457/AN8844/AN8796/AN8782/AN8755/AN11102/AN8041/AN8257/AN4014/AN3897/AN3830/AN3669/AN7349/AN7180/AN7152/AN10901/AN7436/AN7464/AN7632/AN7641/AN7695/AN11004/AN7746/AN11015/AN6354/AN10788/AN5919/AN5808/AN12122/AN6629/AN6632/AN6913/AN9276/AN1263/AN1138/AN1137/AN1136/AN1135/AN0909/AN0814/AN0257/AN0235/AN0156/AN8891/AN11146/AN10213/AN1521/AN1522/AN1619/AN1810/AN1850/AN1973/AN2280/AN2304/AN2437/AN2481/AN3450/AN3402/AN3111/AN2867/AN2764/AN2751/AN5105/AN5793/AN5694/AN5658/AN5495
FALSE	FALSE	FALSE	TRUE	01	GO:0009058	biosynthetic process	216	216/823	AN5014/AN4992/AN4932/AN4891/AN9446/AN4785/AN4727/AN4719/AN4594/AN4571/AN4555/AN4536/AN4522/AN4493/AN10557/AN4414/AN4407/AN8869/AN8858/AN8796/AN8770/AN8712/AN8705/AN7923/AN7994/AN8041/AN8106/AN8203/AN8216/AN11054/AN8236/AN4258/AN10526/AN4202/AN4166/AN4163/AN4096/AN4087/AN4086/AN4054/AN4015/AN10491/AN3909/AN3897/AN3846/AN3830/AN3823/AN3761/AN3702/AN11721/AN3639/AN3638/AN3619/AN7385/AN7325/AN7274/AN10910/AN7434/AN7439/AN10970/AN7608/AN7632/AN7681/AN11003/AN7695/AN11004/AN7722/AN7723/AN11008/AN7752/AN7753/AN7818/AN7820/AN6300/AN6283/AN6231/AN6223/AN6181/AN6147/AN6146/AN12045/AN6083/AN9469/AN9468/AN5957/AN10755/AN5902/AN5901/AN5884/AN5883/AN5868/AN5867/AN5820/AN5808/AN6500/AN10832/AN12122/AN6536/AN6568/AN6569/AN6572/AN12011/AN6629/AN6632/AN6682/AN6715/AN9399/AN9465/AN1369/AN1368/AN1345/AN1263/AN1255/AN1237/AN1228/AN1222/AN1207/AN1205/AN1166/AN1162/AN1137/AN1135/AN1115/AN1080/AN1028/AN0999/AN0937/AN0910/AN0893/AN0879/AN0872/AN0752/AN0713/AN0708/AN0658/AN10105/AN10083/AN0490/AN0433/AN0385/AN0327/AN0304/AN0297/AN10063/AN0278/AN10032/AN0256/AN0192/AN0191/AN0167/AN0156/AN0116/AN0094/AN0091/AN8881/AN11146/AN8878/AN1446/AN10213/AN1521/AN1560/AN1683/AN1722/AN1745/AN1811/AN1883/AN1929/AN1964/AN1965/AN2172/AN2235/AN10280/AN2272/AN2278/AN2285/AN2296/AN2314/AN2363/AN2415/AN2481/AN2491/AN11188/AN11169/AN9125/AN9117/AN3450/AN10414/AN10416/AN3420/AN3290/AN3173/AN3172/AN10367/AN3116/AN3108/AN2992/AN10362/AN2867/AN2764/AN2763/AN2752/AN2747/AN8431/AN5105/AN10635/AN10638/AN10642/AN5731/AN5726/AN5701/AN5662/AN5586/AN5494/AN5299/AN11950/AN11228
FALSE	FALSE	FALSE	TRUE	01	GO:0009892	negative regulation of metabolic process	46	46/823	AN4932/AN4891/AN4571/AN4536/AN4493/AN4407/AN8858/AN8796/AN7994/AN8257/AN10526/AN4166/AN10489/AN3669/AN3619/AN10970/AN7681/AN7695/AN7723/AN7746/AN7753/AN6223/AN6147/AN6632/AN9399/AN1400/AN1255/AN1237/AN0872/AN0297/AN10063/AN0235/AN0156/AN0091/AN1521/AN1929/AN2172/AN10280/AN2285/AN2304/AN2437/AN3450/AN2751/AN10635/AN5694/AN5494
FALSE	FALSE	FALSE	TRUE	01	GO:0009893	positive regulation of metabolic process	35	35/823	AN4891/AN4785/AN4493/AN8858/AN8770/AN7994/AN10526/AN4163/AN4015/AN4014/AN7695/AN7820/AN6223/AN10788/AN5814/AN5808/AN6569/AN6632/AN1345/AN1205/AN0910/AN0770/AN10105/AN0349/AN0256/AN0156/AN1521/AN1545/AN1560/AN2172/AN10280/AN2285/AN2296/AN3116/AN5726
