hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	01	GO:0006412	translation	2e-05	453	43	34.07	0.095	4.699	AN0116,AN0167,AN0191,AN0278,AN0433,AN10416,AN10557,AN1080,AN1162,AN1166,AN12011,AN1228,AN1345,AN1521,AN1964,AN2992,AN3172,AN3173,AN3702,AN3823,AN4015,AN4086,AN4087,AN4163,AN4202,AN4522,AN4594,AN5014,AN5662,AN6083,AN6146,AN6181,AN6283,AN6500,AN6568,AN6629,AN6632,AN7695,AN8705,AN8712,AN9465,AN9468,AN9469
FALSE	FALSE	FALSE	TRUE	01	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2.1e-05	28	10	2.11	0.357	4.678	AN0189,AN0305,AN1434,AN2437,AN3172,AN3823,AN5340,AN5785,AN6556,AN9398
FALSE	FALSE	FALSE	TRUE	01	GO:1902969	mitotic DNA replication	1e-04	37	16	2.78	0.432	4	AN0872,AN10635,AN10755,AN11721,AN1207,AN1237,AN2491,AN2764,AN3450,AN3619,AN4407,AN4555,AN4571,AN7325,AN7439,AN8236
FALSE	FALSE	FALSE	TRUE	01	GO:1990426	mitotic recombination-dependent replication fork processing	0.00015	5	4	0.38	0.8	3.824	AN1237,AN3619,AN4407,AN8236
FALSE	FALSE	FALSE	TRUE	01	GO:0006360	transcription by RNA polymerase I	0.00031	27	8	2.03	0.296	3.509	AN0192,AN0752,AN10280,AN10970,AN2415,AN2747,AN4493,AN8796
FALSE	FALSE	FALSE	TRUE	01	GO:0070601	centromeric sister chromatid cohesion	0.00042	6	4	0.45	0.667	3.377	AN1560,AN3946,AN6364,AN9467
FALSE	FALSE	FALSE	TRUE	01	GO:0000722	telomere maintenance via recombination	0.00043	10	5	0.75	0.5	3.367	AN2285,AN3619,AN4407,AN6569,AN7753
FALSE	FALSE	FALSE	TRUE	01	GO:0045835	negative regulation of meiotic nuclear division	0.00091	12	7	0.9	0.583	3.041	AN0091,AN10063,AN1797,AN4407,AN4493,AN5494,AN5815
FALSE	FALSE	FALSE	TRUE	01	GO:0061780	mitotic cohesin loading	0.00092	7	4	0.53	0.571	3.036	AN6364,AN7296,AN7465,AN7499
FALSE	FALSE	FALSE	TRUE	01	GO:0031573	intra-S DNA damage checkpoint	0.0015	18	6	1.35	0.333	2.824	AN0091,AN0872,AN3450,AN3619,AN4571,AN6044
FALSE	FALSE	FALSE	TRUE	01	GO:0051346	negative regulation of hydrolase activity	0.00159	11	6	0.83	0.545	2.799	AN12491,AN1400,AN1545,AN2491,AN3619,AN7994
FALSE	FALSE	FALSE	TRUE	01	GO:0006526	arginine biosynthetic process	0.00174	8	4	0.6	0.5	2.759	AN1883,AN7722,AN8770,AN8881
FALSE	FALSE	FALSE	TRUE	01	GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	0.00174	8	4	0.6	0.5	2.759	AN0872,AN3450,AN4571,AN5494
FALSE	FALSE	FALSE	TRUE	01	GO:0045039	protein import into mitochondrial inner membrane	0.00174	8	4	0.6	0.5	2.759	AN10453,AN11136,AN4633,AN6306
FALSE	FALSE	FALSE	TRUE	01	GO:0051345	positive regulation of hydrolase activity	0.00184	13	5	0.98	0.385	2.735	AN10788,AN4510,AN5814,AN6197,AN6590
FALSE	FALSE	FALSE	TRUE	01	GO:0042147	retrograde transport, endosome to Golgi	0.00275	20	6	1.5	0.3	2.561	AN10213,AN10313,AN1341,AN3594,AN4014,AN7993
FALSE	FALSE	FALSE	TRUE	01	GO:1902975	mitotic DNA replication initiation	0.00294	16	5	1.2	0.312	2.532	AN10755,AN2491,AN3450,AN4571,AN7439
FALSE	FALSE	FALSE	TRUE	01	GO:0110029	negative regulation of meiosis I	0.00378	5	3	0.38	0.6	2.423	AN10063,AN4407,AN4493
FALSE	FALSE	FALSE	TRUE	01	GO:0030026	cellular manganese ion homeostasis	0.00378	5	3	0.38	0.6	2.423	AN10367,AN1876,AN7464
FALSE	FALSE	FALSE	TRUE	01	GO:0008655	pyrimidine-containing compound salvage	0.00378	5	3	0.38	0.6	2.423	AN10105,AN11146,AN8869
