hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	GO:0006412	translation	7.1e-07	457	45	33.86	0.098	6.149	AN0116,AN0167,AN0191,AN0278,AN0433,AN10416,AN1080,AN1084,AN1162,AN1166,AN12011,AN1228,AN1345,AN1521,AN1964,AN2992,AN3172,AN3173,AN3702,AN3823,AN4015,AN4086,AN4087,AN4163,AN4202,AN4522,AN4594,AN5014,AN5662,AN5996,AN6083,AN6146,AN6181,AN6202,AN6283,AN6500,AN6568,AN6629,AN6632,AN7695,AN8705,AN8712,AN9465,AN9468,AN9469
FALSE	FALSE	FALSE	TRUE	GO:1902969	mitotic DNA replication	9.6e-05	37	16	2.74	0.432	4.018	AN0872,AN10635,AN10755,AN11721,AN1207,AN1237,AN2491,AN2764,AN3450,AN3619,AN4407,AN4555,AN4571,AN7325,AN7439,AN8236
FALSE	FALSE	FALSE	TRUE	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00012	28	9	2.07	0.321	3.921	AN0189,AN0305,AN1434,AN2437,AN3172,AN3823,AN5785,AN6556,AN9398
FALSE	FALSE	FALSE	TRUE	GO:1990426	mitotic recombination-dependent replication fork processing	0.00014	5	4	0.37	0.8	3.854	AN1237,AN3619,AN4407,AN8236
FALSE	FALSE	FALSE	TRUE	GO:0070601	centromeric sister chromatid cohesion	4e-04	6	4	0.44	0.667	3.398	AN1560,AN3946,AN6364,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0000722	telomere maintenance via recombination	0.00041	10	5	0.74	0.5	3.387	AN2285,AN3619,AN4407,AN6569,AN7753
FALSE	FALSE	FALSE	TRUE	GO:0006360	transcription by RNA polymerase I	0.00045	27	7	2	0.259	3.347	AN0192,AN0312,AN0752,AN10970,AN2415,AN4493,AN8796
FALSE	FALSE	FALSE	TRUE	GO:0051346	negative regulation of hydrolase activity	0.00152	11	5	0.82	0.455	2.818	AN1400,AN1545,AN2491,AN3619,AN7994
FALSE	FALSE	FALSE	TRUE	GO:0006526	arginine biosynthetic process	0.00165	8	4	0.59	0.5	2.783	AN1883,AN7722,AN8770,AN8881
FALSE	FALSE	FALSE	TRUE	GO:1902402	signal transduction involved in mitotic DNA damage checkpoint	0.00165	8	4	0.59	0.5	2.783	AN0872,AN3450,AN4571,AN5494
FALSE	FALSE	FALSE	TRUE	GO:0045039	protein import into mitochondrial inner membrane	0.00165	8	4	0.59	0.5	2.783	AN10453,AN11136,AN4633,AN6306
FALSE	FALSE	FALSE	TRUE	GO:0051345	positive regulation of hydrolase activity	0.00172	13	5	0.96	0.385	2.764	AN10788,AN4510,AN5814,AN6197,AN6590
FALSE	FALSE	FALSE	TRUE	GO:1902975	mitotic DNA replication initiation	0.00278	16	5	1.19	0.312	2.556	AN10755,AN2491,AN3450,AN4571,AN7439
FALSE	FALSE	FALSE	TRUE	GO:0031401	positive regulation of protein modification process	0.00362	44	6	3.26	0.136	2.441	AN0349,AN1545,AN4163,AN4891,AN5814,AN5996
FALSE	FALSE	FALSE	TRUE	GO:0097638	L-arginine import across plasma membrane	0.00362	5	3	0.37	0.6	2.441	AN11188,AN5678,AN6590
FALSE	FALSE	FALSE	TRUE	GO:0051177	meiotic sister chromatid cohesion	0.00362	5	3	0.37	0.6	2.441	AN1560,AN3946,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0033567	DNA replication, Okazaki fragment processing	0.00362	5	3	0.37	0.6	2.441	AN10635,AN11721,AN2764
FALSE	FALSE	FALSE	TRUE	GO:0010033	response to organic substance	0.00362	170	15	12.6	0.088	2.441	AN0235,AN0687,AN11015,AN12122,AN1797,AN4163,AN5105,AN5824,AN6231,AN7436,AN7632,AN7695,AN8672,AN8782,AN8847
FALSE	FALSE	FALSE	TRUE	GO:0033523	histone H2B ubiquitination	0.00548	8	3	0.59	0.375	2.261	AN0770,AN2214,AN4891
FALSE	FALSE	FALSE	TRUE	GO:0031929	TOR signaling	0.00643	31	7	2.3	0.226	2.192	AN11188,AN1850,AN3598,AN5814,AN6590,AN7695,AN8796
FALSE	FALSE	FALSE	TRUE	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0066	52	15	3.85	0.288	2.18	AN0189,AN0305,AN1345,AN1434,AN1949,AN1964,AN2437,AN3172,AN3823,AN4226,AN4594,AN5785,AN6556,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	GO:0072423	response to DNA damage checkpoint signaling	0.00684	6	3	0.44	0.5	2.165	AN11721,AN4571,AN5494
FALSE	FALSE	FALSE	TRUE	GO:0019631	quinate catabolic process	0.00684	6	3	0.44	0.5	2.165	AN1135,AN1137,AN1138
FALSE	FALSE	FALSE	TRUE	GO:0010411	xyloglucan metabolic process	0.00684	6	3	0.44	0.5	2.165	AN0452,AN1542,AN7505
FALSE	FALSE	FALSE	TRUE	GO:0016925	protein sumoylation	0.00684	6	3	0.44	0.5	2.165	AN0304,AN2298,AN2450
FALSE	FALSE	FALSE	TRUE	GO:0032581	ER-dependent peroxisome organization	0.00684	6	3	0.44	0.5	2.165	AN2279,AN2281,AN5692
FALSE	FALSE	FALSE	TRUE	GO:0031030	negative regulation of septation initiation signaling	0.00684	6	3	0.44	0.5	2.165	AN1545,AN4085,AN9467
FALSE	FALSE	FALSE	TRUE	GO:0031573	intra-S DNA damage checkpoint	0.00838	18	5	1.33	0.278	2.077	AN0872,AN3450,AN3619,AN4571,AN6044
