hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019953	sexual reproduction	29	29/1033	AN4998/AN4894/AN4632/AN4601/AN4407/AN8751/AN8071/AN3913/AN3598/AN3594/AN7349/AN7104/AN7487/AN7678/AN6305/AN6162/AN5798/AN6578/AN6749/AN6866/AN1016/AN0472/AN0144/AN1545/AN10229/AN2047/AN2426/AN3435/AN5791
FALSE	TRUE	2	GO:0019954	asexual reproduction	22	22/1033	AN4953/AN4719/AN4632/AN8751/AN9467/AN8071/AN3913/AN7104/AN7487/AN6305/AN12121/AN6578/AN10184/AN1016/AN0256/AN0144/AN1485/AN1545/AN1937/AN2047/AN3435/AN2752
FALSE	TRUE	2	GO:0022414	reproductive process	40	40/1033	AN4998/AN4894/AN4632/AN4601/AN4407/AN8751/AN9467/AN8071/AN8182/AN3913/AN11721/AN3619/AN3598/AN3594/AN7349/AN7104/AN7487/AN7678/AN6305/AN6162/AN5798/AN6578/AN6749/AN6866/AN1237/AN1170/AN1016/AN0568/AN0472/AN0144/AN10192/AN1545/AN10229/AN1937/AN2047/AN2426/AN3435/AN2854/AN5105/AN5791
FALSE	TRUE	2	GO:0032505	reproduction of a single-celled organism	16	16/1033	AN4632/AN4601/AN4407/AN8071/AN3594/AN7104/AN7487/AN7678/AN12121/AN1237/AN1170/AN1016/AN0144/AN10229/AN2047/AN2854
FALSE	TRUE	2	GO:0055114	oxidation-reduction process	71	71/1033	AN4688/AN4536/AN8657/AN7890/AN7998/AN8199/AN4114/AN4082/AN3917/AN3913/AN3880/AN3855/AN3741/AN3531/AN7156/AN7084/AN10887/AN7000/AN10950/AN7641/AN7818/AN11924/AN10811/AN6394/AN6297/AN5984/AN5905/AN5883/AN5854/AN5838/AN5837/AN6576/AN6755/AN6817/AN9356/AN1137/AN1087/AN0942/AN0876/AN0824/AN0567/AN10099/AN0432/AN0338/AN0257/AN10026/AN9011/AN9007/AN9005/AN8982/AN10229/AN1733/AN1743/AN1882/AN10259/AN12335/AN11188/AN9114/AN3339/AN3291/AN3083/AN2866/AN2860/AN2835/AN9457/AN2668/AN2622/AN5178/AN5790/AN5690/AN5571
FALSE	TRUE	2	GO:0006807	nitrogen compound metabolic process	266	266/1033	AN5052/AN4972/AN4953/AN4949/AN4933/AN4932/AN4901/AN4894/AN10606/AN4837/AN9446/AN4809/AN4687/AN4594/AN4587/AN4555/AN4536/AN4520/AN4519/AN4505/AN4465/AN4457/AN4407/AN4404/AN8857/AN8796/AN8751/AN8748/AN8724/AN8709/AN8702/AN11102/AN8671/AN7962/AN7997/AN12402/AN9467/AN8106/AN8111/AN8164/AN8182/AN8199/AN8216/AN8293/AN4251/AN10522/AN4174/AN4166/AN4058/AN4018/AN4013/AN3913/AN3897/AN3868/AN3867/AN3866/AN3812/AN3769/AN3768/AN3669/AN11721/AN3628/AN3619/AN3598/AN10937/AN7346/AN10929/AN10925/AN7201/AN12151/AN10903/AN10900/AN7121/AN7115/AN7104/AN7072/AN10950/AN7641/AN7666/AN7678/AN7695/AN7746/AN7748/AN7820/AN10819/AN6438/AN6354/AN6305/AN6293/AN6218/AN10780/AN10789/AN10788/AN6192/AN6181/AN6162/AN12045/AN6069/AN5919/AN5905/AN5902/AN5901/AN5884/AN5883/AN5812/AN5808/AN6507/AN12121/AN10832/AN12122/AN6572/AN6573/AN6576/AN6681/AN6682/AN6698/AN6726/AN6747/AN6820/AN6866/AN6888/AN6889/AN11250/AN6913/AN10865/AN6968/AN9390/AN9406/AN10184/AN1320/AN1255/AN1242/AN1237/AN1207/AN1205/AN1179/AN1170/AN1137/AN1135/AN1123/AN1115/AN1084/AN10139/AN1016/AN0910/AN0909/AN0835/AN0816/AN0770/AN0752/AN0748/AN0708/AN0685/AN0658/AN10105/AN0576/AN0568/AN10083/AN0388/AN0385/AN0327/AN0256/AN0197/AN0192/AN0191/AN0189/AN0167/AN0156/AN0147/AN0144/AN0116/AN0104/AN0070/AN8902/AN11146/AN10192/AN1485/AN1486/AN1502/AN1545/AN1554/AN1673/AN1708/AN1733/AN1743/AN1798/AN1809/AN1810/AN1811/AN1850/AN1883/AN1929/AN1937/AN1965/AN1992/AN2020/AN2025/AN2048/AN12489/AN2133/AN2155/AN2180/AN2194/AN2212/AN2213/AN2214/AN2272/AN2363/AN2373/AN2426/AN2450/AN2481/AN2497/AN11962/AN9221/AN9117/AN9096/AN3459/AN3449/AN3448/AN3435/AN3420/AN3393/AN3290/AN3204/AN3111/AN3110/AN2988/AN10362/AN10349/AN2901/AN2877/AN11684/AN2854/AN9458/AN10336/AN2752/AN2751/AN2747/AN2622/AN2621/AN8298/AN8345/AN8426/AN8445/AN8473/AN12256/AN5105/AN5124/AN10638/AN5235/AN10649/AN5793/AN5785/AN5779/AN5691/AN5690/AN12437/AN5593/AN5569/AN5495/AN10675/AN10673/AN5342/AN5340/AN5299
FALSE	TRUE	2	GO:0009056	catabolic process	93	93/1033	AN4948/AN4687/AN4457/AN4372/AN8796/AN8751/AN11102/AN8007/AN8046/AN8138/AN8257/AN4174/AN3913/AN3897/AN3837/AN3812/AN3669/AN3613/AN7349/AN7346/AN7180/AN7152/AN10903/AN10950/AN7641/AN7695/AN7746/AN7748/AN11015/AN6438/AN6354/AN6305/AN10788/AN5919/AN5917/AN5812/AN5808/AN12122/AN6726/AN6889/AN11250/AN6913/AN9276/AN9389/AN9390/AN1179/AN1138/AN1137/AN1136/AN1135/AN1016/AN0942/AN0909/AN0824/AN0576/AN0472/AN0388/AN0257/AN0156/AN0070/AN8891/AN11146/AN1502/AN10213/AN1571/AN1619/AN1733/AN1772/AN1804/AN1810/AN1850/AN2047/AN2212/AN2213/AN2359/AN2481/AN2528/AN9106/AN3459/AN3402/AN3201/AN3111/AN3013/AN2988/AN2901/AN2877/AN11684/AN2751/AN5105/AN5793/AN5495/AN10673/AN5309
FALSE	TRUE	2	GO:0009058	biosynthetic process	178	178/1033	AN5052/AN4972/AN4953/AN4949/AN4933/AN4932/AN10606/AN4837/AN9446/AN4719/AN4594/AN4555/AN4536/AN4465/AN4407/AN8796/AN8724/AN8709/AN8671/AN7911/AN7997/AN7998/AN12402/AN8106/AN8111/AN8164/AN8199/AN8216/AN11054/AN4251/AN4166/AN4058/AN4013/AN3913/AN3897/AN3868/AN3769/AN3768/AN11721/AN3619/AN3598/AN7385/AN7346/AN7104/AN7084/AN7072/AN7487/AN7666/AN7695/AN7818/AN7819/AN7820/AN6446/AN6305/AN6293/AN6218/AN10789/AN6181/AN12045/AN6069/AN5905/AN5902/AN5901/AN5884/AN5883/AN5812/AN5808/AN10832/AN12122/AN6572/AN6576/AN6682/AN6698/AN6747/AN6749/AN6820/AN6866/AN6880/AN6889/AN6968/AN1255/AN1242/AN1237/AN1207/AN1205/AN1179/AN1170/AN1137/AN1135/AN1123/AN1115/AN1084/AN1016/AN0942/AN0910/AN0835/AN0816/AN0752/AN0748/AN0708/AN0658/AN10105/AN0581/AN0579/AN0576/AN0568/AN10083/AN0432/AN0388/AN0385/AN0327/AN0256/AN0197/AN0192/AN0191/AN0167/AN0156/AN0147/AN0116/AN0104/AN8902/AN11146/AN1409/AN10192/AN1485/AN10213/AN1554/AN1673/AN1733/AN1743/AN1798/AN1811/AN1883/AN1929/AN1937/AN1965/AN2020/AN2025/AN2047/AN12489/AN2272/AN2363/AN2426/AN2481/AN11962/AN9221/AN11188/AN9117/AN9096/AN3449/AN3448/AN3435/AN3420/AN3290/AN3204/AN10362/AN2854/AN9458/AN2814/AN10336/AN2752/AN2747/AN2622/AN2621/AN8298/AN8345/AN8426/AN8473/AN8518/AN5105/AN5124/AN10638/AN10649/AN5691/AN5569/AN5342/AN5324/AN5299
FALSE	TRUE	2	GO:0009892	negative regulation of metabolic process	31	31/1033	AN4932/AN4536/AN4465/AN4407/AN8796/AN8751/AN8724/AN8257/AN4166/AN3913/AN3812/AN3669/AN3619/AN7695/AN7746/AN7748/AN6305/AN6293/AN6749/AN11250/AN1255/AN1237/AN1179/AN1170/AN1016/AN0156/AN1485/AN1929/AN2426/AN2854/AN2751
FALSE	TRUE	2	GO:0009893	positive regulation of metabolic process	25	25/1033	AN4933/AN4465/AN8182/AN3628/AN7104/AN7695/AN7820/AN6293/AN10788/AN5808/AN6889/AN1205/AN0910/AN0770/AN10105/AN0576/AN0388/AN0256/AN0156/AN1545/AN1937/AN2213/AN3435/AN2877/AN2854
