hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	TRUE	2	GO:0006635	fatty acid beta-oxidation	0.00031	14	7	1.52	0.5	3.509	AN0824,AN0868,AN10215,AN5646,AN5916,AN6752,AN7008
FALSE	TRUE	2	GO:0030448	hyphal growth	5e-04	188	36	20.47	0.191	3.301	AN0118,AN0144,AN0163,AN0253,AN10184,AN10504,AN1191,AN12408,AN1324,AN1661,AN1733,AN2129,AN2212,AN2246,AN2489,AN2516,AN2901,AN3112,AN3441,AN3683,AN4416,AN4685,AN4743,AN4953,AN5529,AN6037,AN6305,AN6341,AN7104,AN7487,AN7602,AN8071,AN8182,AN8848,AN8862,AN8874
FALSE	TRUE	2	GO:0006570	tyrosine metabolic process	0.00131	9	5	0.98	0.556	2.883	AN1897,AN1898,AN1899,AN5644,AN6866
FALSE	TRUE	2	GO:0000755	cytogamy	0.00175	6	4	0.65	0.667	2.757	AN2520,AN4685,AN5686,AN7743
FALSE	TRUE	2	GO:0007009	plasma membrane organization	0.00239	10	5	1.09	0.5	2.622	AN1558,AN2047,AN2464,AN2516,AN3725
FALSE	TRUE	2	GO:0043966	histone H3 acetylation	0.00373	7	4	0.76	0.571	2.428	AN10956,AN1170,AN1191,AN3879
FALSE	TRUE	2	GO:0019835	cytolysis	0.00373	7	4	0.76	0.571	2.428	AN0163,AN10184,AN3583,AN6258
FALSE	TRUE	2	GO:0034219	carbohydrate transmembrane transport	0.00471	16	6	1.74	0.375	2.327	AN2289,AN2475,AN4277,AN6578,AN6923,AN8912
FALSE	TRUE	2	GO:0071963	establishment or maintenance of cell polarity regulating cell shape	0.00497	32	10	3.48	0.312	2.304	AN0106,AN0316,AN1485,AN1558,AN2516,AN4953,AN5529,AN7487,AN8286,AN8862
FALSE	TRUE	2	GO:0009826	unidimensional cell growth	0.00502	16	6	1.74	0.375	2.299	AN0106,AN1558,AN2464,AN4743,AN5797,AN8862
FALSE	TRUE	2	GO:0051666	actin cortical patch localization	0.00502	16	6	1.74	0.375	2.299	AN10804,AN1558,AN2516,AN4685,AN5100,AN5686
FALSE	TRUE	2	GO:0031122	cytoplasmic microtubule organization	0.00623	12	5	1.31	0.417	2.206	AN0118,AN0316,AN1324,AN6340,AN8286
FALSE	TRUE	2	GO:0005993	trehalose catabolic process	0.00682	8	4	0.87	0.5	2.166	AN3441,AN3913,AN5635,AN6305
FALSE	TRUE	2	GO:1901137	carbohydrate derivative biosynthetic process	0.00688	201	22	21.88	0.109	2.162	AN0104,AN0252,AN0942,AN1202,AN1523,AN1663,AN1798,AN2240,AN3626,AN3913,AN4691,AN4830,AN4864,AN5162,AN6037,AN6182,AN6496,AN6610,AN7028,AN7123,AN8848,AN9094
