hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	TRUE	2	00472	D-Arginine and D-ornithine metabolism	1	1	1	0	0	AN0174.2
FALSE	TRUE	2	00904	Diterpenoid biosynthesis	1	1	1	0	0	AN1598.2
FALSE	TRUE	2	01100	Metabolic pathways	109	904	0.12	1.74249677129968e-05	0.000737656966516865	AN0104.2/AN0156.2/AN0174.2/AN0252.2/AN0321.2/AN0423.2/AN0579.2/AN0809.2/AN0840.2/AN0912.2/AN1165.2/AN1193.2/AN1198.2/AN1376.2/AN1403.2/AN1409.2/AN1418.2/AN1502.2/AN1523.2/AN1598.2/AN1673.2/AN1713.2/AN1733.2/AN1743.2/AN1895.2/AN1896.2/AN1897.2/AN1899.2/AN2154.2/AN2235.2/AN2243.2/AN2336.2/AN2464.2/AN2623.2/AN2653.2/AN2828.2/AN2860.2/AN2896.2/AN2901.2/AN3031.2/AN3169.2/AN3184.2/AN3201.2/AN3459.2/AN3593.2/AN3626.2/AN3741.2/AN3837.2/AN3840.2/AN3866.2/AN3879.2/AN3916.2/AN4055.2/AN4234.2/AN4245.2/AN4278.2/AN4303.2/AN4348.2/AN4430.2/AN4830.2/AN4864.2/AN5159.2/AN5162.2/AN5206.2/AN5613.2/AN5635.2/AN5644.2/AN5646.2/AN5690.2/AN5698.2/AN5790.2/AN5812.2/AN5833.2/AN5916.2/AN5984.2/AN5986.2/AN6037.2/AN6182.2/AN6346.2/AN6521.2/AN6525.2/AN6576.2/AN6658.2/AN6712.2/AN6752.2/AN6866.2/AN7008.2/AN7108.2/AN7429.2/AN7603.2/AN7666.2/AN7691.2/AN8078.2/AN8138.2/AN8272.2/AN8273.2/AN8280.2/AN8396.2/AN8401.2/AN8546.2/AN8790.2/AN8793.2/AN8866.2/AN8953.2/AN8977.2/AN9094.2/AN9106.2/AN9107.2/AN9157.2
FALSE	TRUE	2	00592	alpha-Linolenic acid metabolism	4	6	0.67	0.000143336230036295	0.00455092530365238	AN1713.2/AN5646.2/AN5698.2/AN6752.2
FALSE	TRUE	2	00565	Ether lipid metabolism	6	14	0.43	0.000597868839843955	0.0151858685320365	AN1713.2/AN2336.2/AN5159.2/AN6712.2/AN7691.2/AN8546.2
FALSE	TRUE	2	00511	Other glycan degradation	4	9	0.44	0.00218213049849374	0.0351082456213752	AN1502.2/AN1742.2/AN3201.2/AN8149.2
FALSE	TRUE	2	04146	Peroxisome	13	52	0.25	0.00235850496771102	0.0351082456213752	AN0174.2/AN1014.2/AN1059.2/AN1262.2/AN1483.2/AN3687.2/AN4056.2/AN4280.2/AN5613.2/AN5646.2/AN5698.2/AN6752.2/AN8280.2
FALSE	TRUE	2	00562	Inositol phosphate metabolism	8	26	0.31	0.00239711024714521	0.0351082456213752	AN0156.2/AN2336.2/AN3636.2/AN4278.2/AN5984.2/AN5985.2/AN7691.2/AN8546.2
FALSE	TRUE	2	04139	Mitophagy - yeast	9	31	0.29	0.0024879859101762	0.0351082456213752	AN0040.2/AN0914.2/AN0931.2/AN1272.2/AN1485.2/AN1546.2/AN2887.2/AN5588.2/AN8874.2
FALSE	TRUE	2	04138	Autophagy - yeast	14	63	0.22	0.00575284966792402	0.073061190782635	AN0156.2/AN0576.2/AN1867.2/AN2076.2/AN2246.2/AN2887.2/AN3470.2/AN4477.2/AN5491.2/AN6305.2/AN6880.2/AN7428.2/AN7437.2/AN7591.2
