chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	An_untagged_20h_polII_1	is_expressed.An_untagged_20h_polII_1	An_untagged_48h_polII_1	is_expressed.An_untagged_48h_polII_1	An_kdmB_del_20h_polII_1	is_expressed.An_kdmB_del_20h_polII_1	An_kdmB_del_48h_polII_1	is_expressed.An_kdmB_del_48h_polII_1	untagged_48h_vs_untagged_20h_polII	kdmB_del_48h_vs_kdmB_del_20h_polII	kdmB_del_20h_vs_untagged_20h_polII	kdmB_del_48h_vs_untagged_48h_polII	hasPeak.An_kdmB_20h_HA_1	peakId.An_kdmB_20h_HA_1	peakDist.An_kdmB_20h_HA_1	summitDist.An_kdmB_20h_HA_1	peakType.An_kdmB_20h_HA_1	enrichment.An_kdmB_20h_HA_1	pval.An_kdmB_20h_HA_1	tesPeakType.An_kdmB_20h_HA_1	tesEnrichment.An_kdmB_20h_HA_1	tesPval.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	peakId.An_kdmB_48h_HA_1	peakDist.An_kdmB_48h_HA_1	summitDist.An_kdmB_48h_HA_1	peakType.An_kdmB_48h_HA_1	enrichment.An_kdmB_48h_HA_1	pval.An_kdmB_48h_HA_1	tesPeakType.An_kdmB_48h_HA_1	tesEnrichment.An_kdmB_48h_HA_1	tesPval.An_kdmB_48h_HA_1	group
ChrIII_A_nidulans_FGSC_A4	18	1365	AN5093	.	+	1347	Protein of unknown function	FALSE	FALSE	NA	1.6131	FALSE	2.7729	FALSE	1.4338	FALSE	2.216	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	1859	7010	AN5092	.	-	5151	Putative RecQ protein; telomere linked helicase	FALSE	FALSE	NA	5.7582	FALSE	5.1193	FALSE	2.1479	FALSE	1.9646	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_2	0	430	insideOverlapStart	4.31592	14.40574	NA	NA	NA	TRUE	An_kdmB_48h_HA_1_narrow_peak_3	0	546	overlapStart	3.24826	16.9589	NA	NA	NA	4
ChrIII_A_nidulans_FGSC_A4	7393	8548	AN12284	.	+	1155	Protein of unknown function	FALSE	FALSE	NA	9.3473	FALSE	7.8693	FALSE	5.5822	FALSE	6.8385	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_3	0	106	overlapStart	2.9985	6.5969	overlapEnd	4.44168	18.60274	TRUE	An_kdmB_48h_HA_1_narrow_peak_3	0	-930	overlapStart	3.24826	16.9589	overlapEnd	3.58606	25.10064	4
ChrIII_A_nidulans_FGSC_A4	10123	11768	AN5091	.	-	1645	Putative LaeA-like methyltransferase	FALSE	FALSE	NA	3.105	FALSE	2.9587	FALSE	3.0816	FALSE	3.1594	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	12330	12658	AN11461	.	-	328	Possible pseudogene	FALSE	FALSE	NA	2.5635	FALSE	4.6255	FALSE	3.0239	FALSE	12.289	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	13035	13918	AN5090	.	+	883	Predicted ADP ribosylation factor (Arf) GTPase	FALSE	FALSE	NA	1.3163	FALSE	4.2845	FALSE	1.8434	FALSE	5.9888	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	14734	15349	AN5089	.	-	615	Ortholog of A. oryzae RIB40 : AO090103000089, Aspergillus flavus NRRL 3357 : AFL2T_12280, Aspergillus terreus NIH2624 : ATET_03032 and Aspergillus aculeatus ATCC16872 : Aacu16872_034601	FALSE	FALSE	NA	1.3691	FALSE	2.9485	FALSE	2.2234	FALSE	1.5069	FALSE	0	0	0	0	TRUE	An_kdmB_20h_HA_1_narrow_peak_7	-168	-363	upstream	2.90769	7.23835	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
ChrIII_A_nidulans_FGSC_A4	16180	17145	AN10630	.	-	965	Has domain(s) with predicted integral component of membrane localization	FALSE	FALSE	NA	0.898	FALSE	2.1505	FALSE	1.4324	FALSE	1.0384	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	17663	22414	AN5088	.	-	4751	Putative potassium-transporting ATPase with a predicted role in energy metabolism	FALSE	FALSE	NA	1.015	FALSE	2.8377	FALSE	1.8229	FALSE	7.0451	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	25459	27651	AN5087	.	+	2192	Ortholog of Aspergillus tubingensis : Asptu1_0123225, Aspergillus brasiliensis : Aspbr1_0049601 and Aspergillus fumigatus A1163 : AFUB_080030	FALSE	FALSE	NA	1.0076	FALSE	1.7381	FALSE	2.603	FALSE	1.4445	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	28510	29309	AN5086	.	-	799	Conidium-specific RNA of unknown function; member of the SpoC1 gene cluster	FALSE	FALSE	NA	0.5965	FALSE	4.0625	FALSE	2.4142	FALSE	1.2164	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	29489	30992	AN10628	.	-	1503	Conidium-specific RNA of unknown function; member of the SpoC1 gene cluster	FALSE	FALSE	NA	1.085	FALSE	2.3979	FALSE	2.0173	FALSE	1.4103	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	31166	32699	AN10629	.	-	1533	Has domain(s) with predicted role in lipid metabolic process	FALSE	FALSE	NA	0.8563	FALSE	1.8034	FALSE	1.9539	FALSE	2.4082	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
