chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	An_untagged_20h_polII_1	is_expressed.An_untagged_20h_polII_1	An_untagged_48h_polII_1	is_expressed.An_untagged_48h_polII_1	An_kdmB_del_20h_polII_1	is_expressed.An_kdmB_del_20h_polII_1	An_kdmB_del_48h_polII_1	is_expressed.An_kdmB_del_48h_polII_1	untagged_48h_vs_untagged_20h_polII	kdmB_del_48h_vs_kdmB_del_20h_polII	kdmB_del_20h_vs_untagged_20h_polII	kdmB_del_48h_vs_untagged_48h_polII	hasPeak.An_ecoA_20h_HA_1	peakId.An_ecoA_20h_HA_1	peakDist.An_ecoA_20h_HA_1	summitDist.An_ecoA_20h_HA_1	peakType.An_ecoA_20h_HA_1	enrichment.An_ecoA_20h_HA_1	peakCoverage.An_ecoA_20h_HA_1	pval.An_ecoA_20h_HA_1	tesPeakType.An_ecoA_20h_HA_1	tesEnrichment.An_ecoA_20h_HA_1	tesPval.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	peakId.An_ecoA_48h_HA_1	peakDist.An_ecoA_48h_HA_1	summitDist.An_ecoA_48h_HA_1	peakType.An_ecoA_48h_HA_1	enrichment.An_ecoA_48h_HA_1	peakCoverage.An_ecoA_48h_HA_1	pval.An_ecoA_48h_HA_1	tesPeakType.An_ecoA_48h_HA_1	tesEnrichment.An_ecoA_48h_HA_1	tesPval.An_ecoA_48h_HA_1	group
ChrIII_A_nidulans_FGSC_A4	18	1365	AN5093	.	+	1347	Protein of unknown function	FALSE	FALSE	NA	1.6131	FALSE	2.7729	FALSE	1.3369	FALSE	2.292	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	0.135470002174377	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	0.0849599990844727	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	1859	7010	AN5092	.	-	5151	Putative RecQ protein; telomere linked helicase	FALSE	FALSE	NA	5.7582	FALSE	5.1193	FALSE	2.0941	FALSE	1.9398	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	7.38810595989227	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.06514995908737	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	7393	8548	AN12284	.	+	1155	Protein of unknown function	FALSE	FALSE	NA	9.3473	FALSE	7.8693	FALSE	5.4246	FALSE	6.7403	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	7.1884659576416	NA	overlapEnd	3.57365	10.17995	FALSE	NA	NA	NA	NA	NA	4.99375994539261	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	10123	11768	AN5091	.	-	1645	Putative LaeA-like methyltransferase	FALSE	FALSE	NA	3.105	FALSE	2.9587	FALSE	3.0603	FALSE	3.0407	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	10.2686259765625	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	8.53494012355804	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	12330	12658	AN11461	.	-	328	Possible pseudogene	FALSE	FALSE	NA	2.5635	FALSE	4.6255	FALSE	3.0201	FALSE	12.7607	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	4.79136003279686	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.80205997943878	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	13035	13918	AN5090	.	+	883	Predicted ADP ribosylation factor (Arf) GTPase	FALSE	FALSE	NA	1.3163	FALSE	4.2845	FALSE	1.8096	FALSE	6.1036	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	5.39028003191948	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.87934997558594	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	14734	15349	AN5089	.	-	615	Ortholog of A. oryzae RIB40 : AO090103000089, Aspergillus flavus NRRL 3357 : AFL2T_12280, Aspergillus terreus NIH2624 : ATET_03032 and Aspergillus aculeatus ATCC16872 : Aacu16872_034601	FALSE	FALSE	NA	1.3691	FALSE	2.9485	FALSE	2.3239	FALSE	1.5712	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	9.98912994003296	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.71297004318237	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	16180	17145	AN10630	.	-	965	Has domain(s) with predicted integral component of membrane localization	FALSE	FALSE	NA	0.898	FALSE	2.1505	FALSE	1.4541	FALSE	0.9914	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	1.64275198280811	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.92826997375488	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	17663	22414	AN5088	.	-	4751	Putative potassium-transporting ATPase with a predicted role in energy metabolism	FALSE	FALSE	NA	1.015	FALSE	2.8377	FALSE	1.7612	FALSE	7.131	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	5.29616394114494	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.51826999378204	NA	NA	NA	NA	1
ChrIII_A_nidulans_FGSC_A4	25459	27651	AN5087	.	+	2192	Ortholog of Aspergillus tubingensis : Asptu1_0123225, Aspergillus brasiliensis : Aspbr1_0049601 and Aspergillus fumigatus A1163 : AFUB_080030	FALSE	FALSE	NA	1.0076	FALSE	1.7381	FALSE	2.6823	FALSE	1.5061	FALSE	0	0	0	0	FALSE	NA	NA	NA	NA	NA	1.28625198745728	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.67343997907639	NA	NA	NA	NA	1
