seqnames	start	end	name	peakId.An_kdmB_20h_HA_1	overlap.An_kdmB_20h_HA_1	peakEnrichment.An_kdmB_20h_HA_1	peakPval.An_kdmB_20h_HA_1	peakId.An_sntB_20h_HA_1	overlap.An_sntB_20h_HA_1	peakEnrichment.An_sntB_20h_HA_1	peakPval.An_sntB_20h_HA_1	peakId.An_ecoA_20h_HA_1	overlap.An_ecoA_20h_HA_1	peakEnrichment.An_ecoA_20h_HA_1	peakPval.An_ecoA_20h_HA_1	peakId.An_rpdA_20h_HA_1	overlap.An_rpdA_20h_HA_1	peakEnrichment.An_rpdA_20h_HA_1	peakPval.An_rpdA_20h_HA_1
ChrIII_A_nidulans_FGSC_A4	1473	1760	peak_region_1	An_kdmB_20h_HA_1_withCtrl_peak_1	TRUE	3.7422	12.55238	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_1	TRUE	1.83029	5.94914
ChrIII_A_nidulans_FGSC_A4	5858	6961	peak_region_2	An_kdmB_20h_HA_1_withCtrl_peak_2	TRUE	4.39005	14.04833	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_2	TRUE	2.17019	7.68312
ChrIII_A_nidulans_FGSC_A4	7884	8810	peak_region_3	An_kdmB_20h_HA_1_withCtrl_peak_3	TRUE	4.5842	18.57143	An_sntB_20h_HA_1_withCtrl_peak_1	TRUE	3.17225	23.21751	An_ecoA_20h_HA_1_withCtrl_peak_1	TRUE	3.57365	10.17995	An_rpdA_20h_HA_1_withCtrl_peak_3	TRUE	4.3059	39.78065
ChrIII_A_nidulans_FGSC_A4	8898	9237	peak_region_4	An_kdmB_20h_HA_1_withCtrl_peak_4	TRUE	2.74636	5.00099	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_4	TRUE	2.00714	5.28579
ChrIII_A_nidulans_FGSC_A4	9415	10058	peak_region_5	An_kdmB_20h_HA_1_withCtrl_peak_5	TRUE	4.25686	11.80745	An_sntB_20h_HA_1_withCtrl_peak_2	TRUE	1.98966	5.64996	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_5	TRUE	2.3657	9.22212
ChrIII_A_nidulans_FGSC_A4	15516	15909	peak_region_6	An_kdmB_20h_HA_1_withCtrl_peak_6	TRUE	3.12098	7.97085	An_sntB_20h_HA_1_withCtrl_peak_3	TRUE	2.91107	15.23453	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_6	TRUE	2.47588	12.53069
ChrIII_A_nidulans_FGSC_A4	44618	45325	peak_region_7	An_kdmB_20h_HA_1_withCtrl_peak_7	TRUE	2.46168	4.6642	An_sntB_20h_HA_1_withCtrl_peak_4	TRUE	1.83846	5.36694	NA	FALSE	NA	NA	NA	FALSE	NA	NA
ChrIII_A_nidulans_FGSC_A4	48780	49514	peak_region_8	An_kdmB_20h_HA_1_withCtrl_peak_8	TRUE	6.89613	36.69112	An_sntB_20h_HA_1_withCtrl_peak_5	TRUE	3.34245	27.49654	An_ecoA_20h_HA_1_withCtrl_peak_2	TRUE	3.48757	10.11972	An_rpdA_20h_HA_1_withCtrl_peak_7	TRUE	3.70829	39.736
ChrIII_A_nidulans_FGSC_A4	54230	54639	peak_region_9	An_kdmB_20h_HA_1_withCtrl_peak_9	TRUE	2.89236	6.27933	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_8	TRUE	2.19169	8.20739
ChrIII_A_nidulans_FGSC_A4	59974	60473	peak_region_10	An_kdmB_20h_HA_1_withCtrl_peak_10	TRUE	3.40718	8.91771	An_sntB_20h_HA_1_withCtrl_peak_6	TRUE	3.10872	20.49544	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_9	TRUE	3.66188	29.22025
ChrIII_A_nidulans_FGSC_A4	63340	63575	peak_region_11	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_10	TRUE	2.1999	7.01491
ChrIII_A_nidulans_FGSC_A4	63743	64113	peak_region_12	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	An_rpdA_20h_HA_1_withCtrl_peak_11	TRUE	2.58485	11.2739
ChrIII_A_nidulans_FGSC_A4	64404	65162	peak_region_13	An_kdmB_20h_HA_1_withCtrl_peak_11	TRUE	13.08548	122.18932	An_sntB_20h_HA_1_withCtrl_peak_7	TRUE	5.90837	107.97544	An_ecoA_20h_HA_1_withCtrl_peak_3	TRUE	8.2057	57.37417	An_rpdA_20h_HA_1_withCtrl_peak_12	TRUE	6.28665	120.71346
