hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	FALSE	FALSE	TRUE	01	04111	Cell cycle - yeast	21	73	0.29	8.04939030583961e-06	0.00056125063315999	AN0814.2/AN0872.2/AN1207.2/AN1545.2/AN2296.2/AN2491.2/AN3450.2/AN3451.2/AN3946.2/AN4085.2/AN4571.2/AN4873.2/AN5494.2/AN5899.2/AN6364.2/AN7465.2/AN7499.2/AN7723.2/AN7994.2/AN8783.2/AN8844.2
FALSE	FALSE	FALSE	TRUE	01	03010	Ribosome	25	96	0.26	8.83859264818881e-06	0.00056125063315999	AN0116.2/AN0433.2/AN1166.2/AN1228.2/AN1345.2/AN1964.2/AN3172.2/AN3823.2/AN4016.2/AN4087.2/AN4202.2/AN4522.2/AN4594.2/AN4787.2/AN5014.2/AN5800.2/AN6083.2/AN6181.2/AN6500.2/AN6629.2/AN6632.2/AN8705.2/AN9465.2/AN9468.2/AN9469.2
FALSE	FALSE	FALSE	TRUE	01	00240	Pyrimidine metabolism	16	58	0.28	0.000142360861969008	0.00602660982335466	AN0192.2/AN0490.2/AN0752.2/AN1521.2/AN2133.2/AN2235.2/AN2415.2/AN2747.2/AN4075.2/AN4258.2/AN5884.2/AN7325.2/AN7439.2/AN8216.2/AN8869.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	01	01100	Metabolic pathways	97	904	0.11	0.000839810048809684	0.0265750056315783	AN0156.2/AN0192.2/AN0385.2/AN0490.2/AN0708.2/AN0752.2/AN0774.2/AN0775.2/AN0893.2/AN0910.2/AN1063.2/AN1135.2/AN1136.2/AN1222.2/AN1263.2/AN1446.2/AN1521.2/AN1683.2/AN1722.2/AN1726.2/AN1745.2/AN1810.2/AN1811.2/AN1883.2/AN1965.2/AN2133.2/AN2235.2/AN2272.2/AN2314.2/AN2334.2/AN2414.2/AN2415.2/AN2440.2/AN2497.2/AN2747.2/AN2867.2/AN3291.2/AN3402.2/AN3638.2/AN3639.2/AN3830.2/AN3841.2/AN3846.2/AN4054.2/AN4082.2/AN4258.2/AN4288.2/AN4414.2/AN4687.2/AN4688.2/AN4718.2/AN4727.2/AN4992.2/AN5105.2/AN5571.2/AN5586.2/AN5658.2/AN5701.2/AN5731.2/AN5732.2/AN5820.2/AN5867.2/AN5883.2/AN5884.2/AN5902.2/AN5919.2/AN5957.2/AN6197.2/AN6231.2/AN6536.2/AN6557.2/AN7152.2/AN7325.2/AN7439.2/AN7632.2/AN7641.2/AN7722.2/AN7745.2/AN7752.2/AN7864.2/AN7865.2/AN8041.2/AN8049.2/AN8203.2/AN8204.2/AN8216.2/AN8217.2/AN8559.2/AN8755.2/AN8770.2/AN8869.2/AN8891.2/AN9108.2/AN9125.2/AN9388.2/AN9446.2/AN9522.2
FALSE	FALSE	FALSE	TRUE	01	03020	RNA polymerase	7	20	0.35	0.00104626006423537	0.0265750056315783	AN0192.2/AN0752.2/AN1521.2/AN2235.2/AN2415.2/AN2747.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	01	04113	Meiosis - yeast	13	53	0.25	0.00175582323301523	0.0371649250988223	AN0814.2/AN0872.2/AN1207.2/AN2491.2/AN3450.2/AN3946.2/AN4085.2/AN5494.2/AN6364.2/AN7723.2/AN7994.2/AN8783.2/AN9467.2
FALSE	FALSE	FALSE	TRUE	01	03410	Base excision repair	6	18	0.33	0.00265109857639741	0.0480985027432102	AN2764.2/AN3947.2/AN6682.2/AN7325.2/AN7435.2/AN7439.2
FALSE	FALSE	FALSE	TRUE	01	00514	Other types of O-glycan biosynthesis	2	4	0.5	0.00570518737684086	0.0905698496073486	AN2752.2/AN5105.2
FALSE	FALSE	FALSE	TRUE	01	00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	22	0.27	0.00935381389701196	0.131992707213391	AN0708.2/AN1135.2/AN1137.2/AN5701.2/AN5731.2/AN6231.2
FALSE	FALSE	FALSE	TRUE	01	03450	Non-homologous end-joining	3	9	0.33	0.0139558630462126	0.1772394606869	AN2764.2/AN3619.2/AN7753.2
