chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	hasPeak.An_kdmB_48h_HA_1	peakId.An_kdmB_48h_HA_1	peakDist.An_kdmB_48h_HA_1	summitDist.An_kdmB_48h_HA_1	peakType.An_kdmB_48h_HA_1	enrichment.An_kdmB_48h_HA_1	peakCoverage.An_kdmB_48h_HA_1	pval.An_kdmB_48h_HA_1	tesPeakType.An_kdmB_48h_HA_1	tesEnrichment.An_kdmB_48h_HA_1	tesPval.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	peakId.An_sntB_48h_HA_1	peakDist.An_sntB_48h_HA_1	summitDist.An_sntB_48h_HA_1	peakType.An_sntB_48h_HA_1	enrichment.An_sntB_48h_HA_1	peakCoverage.An_sntB_48h_HA_1	pval.An_sntB_48h_HA_1	tesPeakType.An_sntB_48h_HA_1	tesEnrichment.An_sntB_48h_HA_1	tesPval.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	peakId.An_ecoA_48h_HA_1	peakDist.An_ecoA_48h_HA_1	summitDist.An_ecoA_48h_HA_1	peakType.An_ecoA_48h_HA_1	enrichment.An_ecoA_48h_HA_1	peakCoverage.An_ecoA_48h_HA_1	pval.An_ecoA_48h_HA_1	tesPeakType.An_ecoA_48h_HA_1	tesEnrichment.An_ecoA_48h_HA_1	tesPval.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	peakId.An_rpdA_48h_HA_1	peakDist.An_rpdA_48h_HA_1	summitDist.An_rpdA_48h_HA_1	peakType.An_rpdA_48h_HA_1	enrichment.An_rpdA_48h_HA_1	peakCoverage.An_rpdA_48h_HA_1	pval.An_rpdA_48h_HA_1	tesPeakType.An_rpdA_48h_HA_1	tesEnrichment.An_rpdA_48h_HA_1	tesPval.An_rpdA_48h_HA_1	An_untagged_48h_polII_1	is_expressed.An_untagged_48h_polII_1	group
ChrIII_A_nidulans_FGSC_A4	1859	7010	AN5092	.	-	5151	Putative RecQ protein; telomere linked helicase	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_3	0	546	overlapStart	3.36057	15.9127674511501	17.73673	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.7202359995842	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.06514995908737	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_3	0	423	insideOverlapStart	2.60761	14.196153391276	12.69141	NA	NA	NA	5.1193	FALSE	09
ChrIII_A_nidulans_FGSC_A4	7393	8548	AN12284	.	+	1155	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_3	0	-929	overlapStart	3.36057	15.9127674511501	17.73673	overlapEnd	3.59272	24.42683	FALSE	NA	NA	NA	NA	NA	4.88747599077225	NA	overlapEnd	2.63685	13.82289	FALSE	NA	NA	NA	NA	NA	4.99375994539261	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_4	0	34	overlapStart	1.7599	10.8717073812717	3.47566	overlapEnd	2.90856	18.65702	7.8693	FALSE	09
ChrIII_A_nidulans_FGSC_A4	49607	51566	AN10625	.	+	1959	Has domain(s) with predicted RNA-DNA hybrid ribonuclease activity, nucleic acid binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_6	-209	-362	upstream	4.82049	24.6530457802539	36.22467	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_2	-248	-358	upstream	2.12281	14.3010996685408	6.65219	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	9.99754998779297	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_7	-213	-368	upstream	2.97792	16.2786477976625	15.06988	NA	NA	NA	4.5755	FALSE	13
ChrIII_A_nidulans_FGSC_A4	54587	55197	AN5079	.	+	610	Protein of unknown function	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	9.53946997356415	NA	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_3	-46	-157	upstream	2.25466	12.9140085744244	7.77213	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	6.73013001728058	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_8	0	-133	overlapStart	1.77069	12.5575577075665	3.87253	NA	NA	NA	3.8974	FALSE	05
ChrIII_A_nidulans_FGSC_A4	57863	59084	AN12280	.	-	1221	Has domain(s) with predicted DNA binding, chromatin binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_7	-1066	-1167	upstream	2.86814	18.8369475674916	13.33163	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	3.07179199647903	NA	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_3	-1094	-1184	upstream	2.38119	15.1968814358853	7.9059	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_9	-1038	-1167	upstream	2.8185	18.8669696974032	14.85158	NA	NA	NA	10.0035	FALSE	11
ChrIII_A_nidulans_FGSC_A4	60182	64500	AN12279	.	-	4318	Putative chitinase; glycoside hydrolase family 18 (GH18) protein with a predicted role in chitin hydrolysis	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_8	-74	-301	upstream	5.81096	77.505880369267	90.21341	overlapEnd	2.86814	13.33163	TRUE	An_sntB_48h_HA_1_withCtrl_peak_5	-114	-290	upstream	4.21539	60.8766827187887	60.93444	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_4	-124	-329	upstream	6.08713	65.5428914349489	81.26041	overlapEnd	2.38119	7.9059	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_10	-74	-313	upstream	3.75919	78.2139093551471	42.53802	overlapEnd	2.8185	14.85158	3.5326	FALSE	15
ChrIII_A_nidulans_FGSC_A4	65192	67344	AN5076	.	+	2152	Has domain(s) with predicted role in cell wall macromolecule catabolic process	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_8	-194	-391	upstream	5.81096	77.505880369267	90.21341	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_5	-170	-402	upstream	4.21539	60.8766827187887	60.93444	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_4	-174	-363	upstream	6.08713	65.5428914349489	81.26041	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_10	-157	-379	upstream	3.75919	78.2139093551471	42.53802	NA	NA	NA	3.345	FALSE	15
ChrIII_A_nidulans_FGSC_A4	67435	71552	AN5075	.	-	4117	Protein of unknown function	FALSE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	7.15613994979858	NA	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_6	-239	-385	upstream	2.59693	14.1685177732054	10.68172	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	6.92187999153137	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.9164800286293	NA	NA	NA	NA	2.281	FALSE	04
ChrIII_A_nidulans_FGSC_A4	88537	90199	AN5069	.	-	1662	Ortholog of A. nidulans FGSC A4 : AN2683, A. fumigatus Af293 : Afu5g02860, Afu5g14320, A. niger CBS 513.88 : An09g04830, An14g05730 and A. oryzae RIB40 : AO090102000482, AO090001000197	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_9	-168	-663	upstream	3.42079	16.6904683113098	17.68956	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_7	-222	-606	upstream	2.32181	11.873011265228	7.79444	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	6.54074000406265	NA	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_11	-218	-664	upstream	2.52087	13.1148214162507	9.82058	NA	NA	NA	3.0846	FALSE	13
ChrIII_A_nidulans_FGSC_A4	91202	93366	AN5068	.	-	2164	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	FALSE	NA	TRUE	An_kdmB_48h_HA_1_withCtrl_peak_10	0	-1052	overlapStart	5.38554	27.7113445365571	56.19912	NA	NA	NA	TRUE	An_sntB_48h_HA_1_withCtrl_peak_8	-308	-404	upstream	2.10909	13.1121278484118	6.21467	NA	NA	NA	TRUE	An_ecoA_48h_HA_1_withCtrl_peak_5	-255	-413	upstream	3.28533	18.5238652417534	15.2641	NA	NA	NA	TRUE	An_rpdA_48h_HA_1_withCtrl_peak_12	-29	-371	upstream	3.4808500000000002	21.8502194408242	23.07586	NA	NA	NA	5.4567	FALSE	15
