gene	DESCRIPTION	hasPeak(An_kdmB_20h_HA_1)	peakType(An_kdmB_20h_HA_1)	hasTesPeak(An_kdmB_20h_HA_1)	tesPeakType(An_kdmB_20h_HA_1)	hasPeak(An_kdmB_20h_HA_2)	peakType(An_kdmB_20h_HA_2)	hasTesPeak(An_kdmB_20h_HA_2)	tesPeakType(An_kdmB_20h_HA_2)	hasPeak(An_kdmB_48h_HA_1)	peakType(An_kdmB_48h_HA_1)	hasTesPeak(An_kdmB_48h_HA_1)	tesPeakType(An_kdmB_48h_HA_1)	hasPeak(An_kdmB_48h_HA_2)	peakType(An_kdmB_48h_HA_2)	hasTesPeak(An_kdmB_48h_HA_2)	tesPeakType(An_kdmB_48h_HA_2)
AN5093	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5092	Putative RecQ protein; telomere linked helicase	TRUE	insideOverlapStart	FALSE	NA	TRUE	inside	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN12284	Protein of unknown function	TRUE	overlapStart	TRUE	overlapEnd	FALSE	NA	TRUE	overlapEnd	TRUE	overlapStart	TRUE	overlapEnd	FALSE	NA	FALSE	NA
AN5091	Putative LaeA-like methyltransferase	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11461	Possible pseudogene	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5090	Predicted ADP ribosylation factor (Arf) GTPase	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5089	Ortholog of A. oryzae RIB40 : AO090103000089, Aspergillus flavus NRRL 3357 : AFL2T_12280, Aspergillus terreus NIH2624 : ATET_03032 and Aspergillus aculeatus ATCC16872 : Aacu16872_034601	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN10630	Has domain(s) with predicted integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5088	Putative potassium-transporting ATPase with a predicted role in energy metabolism	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN5087	Ortholog of Aspergillus tubingensis : Asptu1_0123225, Aspergillus brasiliensis : Aspbr1_0049601 and Aspergillus fumigatus A1163 : AFUB_080030	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
