SM_gene	Chr	Start	End	Name	Score	Strand	SM_cluster
AN0015	ChrVIII_A_nidulans_FGSC_A4	4871099	4876233	AN0015	0	+	SM_cluster_1
AN0016	ChrVIII_A_nidulans_FGSC_A4	4850517	4868710	AN0016	0	-	SM_cluster_1
AN0017	ChrVIII_A_nidulans_FGSC_A4	4849025	4849885	AN0017	0	+	SM_cluster_1
AN0019	ChrVIII_A_nidulans_FGSC_A4	4843902	4845381	AN0019	0	-	SM_cluster_1
AN0020	ChrVIII_A_nidulans_FGSC_A4	4841991	4842598	AN0020	0	+	SM_cluster_1
AN0021	ChrVIII_A_nidulans_FGSC_A4	4839820	4840539	AN0021	0	-	SM_cluster_1
AN0022	ChrVIII_A_nidulans_FGSC_A4	4837519	4838574	AN0022	0	-	SM_cluster_1
AN0023	ChrVIII_A_nidulans_FGSC_A4	4834545	4835927	AN0023	0	+	SM_cluster_1
AN0024	ChrVIII_A_nidulans_FGSC_A4	4831870	4833284	AN0024	0	+	SM_cluster_1
AN0025	ChrVIII_A_nidulans_FGSC_A4	4829757	4831697	AN0025	0	+	SM_cluster_1
AN0026	ChrVIII_A_nidulans_FGSC_A4	4827068	4829243	AN0026	0	-	SM_cluster_1
AN0027	ChrVIII_A_nidulans_FGSC_A4	4825303	4827007	AN0027	0	+	SM_cluster_1
AN0028	ChrVIII_A_nidulans_FGSC_A4	4823700	4824915	AN0028	0	+	SM_cluster_1
AN0029	ChrVIII_A_nidulans_FGSC_A4	4821465	4823218	AN0029	0	-	SM_cluster_1
AN10005	ChrVIII_A_nidulans_FGSC_A4	4833318	4834255	AN10005	0	-	SM_cluster_1
AN0146	ChrVIII_A_nidulans_FGSC_A4	4456446	4457370	AN0146	0	+	SM_cluster_2
AN0147	ChrVIII_A_nidulans_FGSC_A4	4454244	4455887	AN0147	0	+	SM_cluster_2
AN0148	ChrVIII_A_nidulans_FGSC_A4	4452410	4453717	AN0148	0	+	SM_cluster_2
AN0149	ChrVIII_A_nidulans_FGSC_A4	4449914	4450931	AN0149	0	+	SM_cluster_2
AN0150	ChrVIII_A_nidulans_FGSC_A4	4443884	4449445	AN0150	0	-	SM_cluster_2
AN0153	ChrVIII_A_nidulans_FGSC_A4	4432718	4435495	AN0153	0	-	SM_cluster_2
AN0154	ChrVIII_A_nidulans_FGSC_A4	4431442	4432325	AN0154	0	-	SM_cluster_2
AN0156	ChrVIII_A_nidulans_FGSC_A4	4424028	4425470	AN0156	0	+	SM_cluster_2
AN0157	ChrVIII_A_nidulans_FGSC_A4	4421432	4422498	AN0157	0	-	SM_cluster_2
AN0158	ChrVIII_A_nidulans_FGSC_A4	4420106	4421315	AN0158	0	+	SM_cluster_2
AN10022	ChrVIII_A_nidulans_FGSC_A4	4441993	4443578	AN10022	0	-	SM_cluster_2
AN10023	ChrVIII_A_nidulans_FGSC_A4	4435955	4437295	AN10023	0	-	SM_cluster_2
AN10024	ChrVIII_A_nidulans_FGSC_A4	4425881	4427318	AN10024	0	+	SM_cluster_2
AN10035	ChrVIII_A_nidulans_FGSC_A4	4439762	4441618	AN10035	0	-	SM_cluster_2
AN10036	ChrVIII_A_nidulans_FGSC_A4	4427875	4429767	AN10036	0	+	SM_cluster_2
AN10037	ChrVIII_A_nidulans_FGSC_A4	4430627	4430991	AN10037	0	+	SM_cluster_2
AN10038	ChrVIII_A_nidulans_FGSC_A4	4438818	4439616	AN10038	0	+	SM_cluster_2
AN10044	ChrVIII_A_nidulans_FGSC_A4	4437656	4438453	AN10044	0	-	SM_cluster_2
AN0520	ChrVIII_A_nidulans_FGSC_A4	3291154	3292291	AN0520	0	+	SM_cluster_3
AN0521	ChrVIII_A_nidulans_FGSC_A4	3290040	3290976	AN0521	0	-	SM_cluster_3
AN0522	ChrVIII_A_nidulans_FGSC_A4	3288681	3289103	AN0522	0	+	SM_cluster_3
AN0523	ChrVIII_A_nidulans_FGSC_A4	3279992	3287961	AN0523	0	+	SM_cluster_3
AN0524	ChrVIII_A_nidulans_FGSC_A4	3277943	3278960	AN0524	0	+	SM_cluster_3
AN0525	ChrVIII_A_nidulans_FGSC_A4	3276778	3277672	AN0525	0	-	SM_cluster_3
AN0526	ChrVIII_A_nidulans_FGSC_A4	3275172	3276281	AN0526	0	+	SM_cluster_3
AN0527	ChrVIII_A_nidulans_FGSC_A4	3274185	3274511	AN0527	0	-	SM_cluster_3
AN0528	ChrVIII_A_nidulans_FGSC_A4	3272113	3273399	AN0528	0	+	SM_cluster_3
AN0529	ChrVIII_A_nidulans_FGSC_A4	3270831	3271628	AN0529	0	-	SM_cluster_3
AN0530	ChrVIII_A_nidulans_FGSC_A4	3268888	3270307	AN0530	0	-	SM_cluster_3
AN0531	ChrVIII_A_nidulans_FGSC_A4	3268049	3268535	AN0531	0	+	SM_cluster_3
AN0532	ChrVIII_A_nidulans_FGSC_A4	3266162	3267486	AN0532	0	-	SM_cluster_3
AN0533	ChrVIII_A_nidulans_FGSC_A4	3263015	3265156	AN0533	0	+	SM_cluster_3
AN0594	ChrVIII_A_nidulans_FGSC_A4	3046743	3054819	AN0594	0	+	SM_cluster_4
AN0595	ChrVIII_A_nidulans_FGSC_A4	3042023	3044173	AN0595	0	-	SM_cluster_4
AN0596	ChrVIII_A_nidulans_FGSC_A4	3037706	3041333	AN0596	0	-	SM_cluster_4
AN0597	ChrVIII_A_nidulans_FGSC_A4	3036591	3037163	AN0597	0	+	SM_cluster_4
AN0598	ChrVIII_A_nidulans_FGSC_A4	3035479	3036054	AN0598	0	-	SM_cluster_4
AN0599	ChrVIII_A_nidulans_FGSC_A4	3032617	3033839	AN0599	0	-	SM_cluster_4
AN0600	ChrVIII_A_nidulans_FGSC_A4	3031139	3031972	AN0600	0	-	SM_cluster_4
AN0601	ChrVIII_A_nidulans_FGSC_A4	3028033	3029889	AN0601	0	-	SM_cluster_4
AN0602	ChrVIII_A_nidulans_FGSC_A4	3025163	3026203	AN0602	0	+	SM_cluster_4
AN0604	ChrVIII_A_nidulans_FGSC_A4	3021847	3023992	AN0604	0	-	SM_cluster_4
